VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
387327.3	0.174400	0.136200	0.109900	0.184700	0.140400	0.162000	0.113700
392491.7	0.173500	0.138000	0.113000	0.177100	0.142200	0.161700	0.114200
397656.0	0.171700	0.135900	0.111400	0.176200	0.139000	0.161400	0.112300
402820.4	0.171600	0.135200	0.110600	0.175000	0.137800	0.159800	0.110500
407984.8	0.169800	0.134500	0.110800	0.174500	0.138600	0.160900	0.111800
413149.1	0.168600	0.133400	0.108800	0.175500	0.137200	0.160300	0.109700
418313.5	0.168600	0.133000	0.106800	0.174100	0.135000	0.159800	0.107500
423477.9	0.167000	0.133700	0.109900	0.170800	0.136900	0.160000	0.110100
428642.2	0.165400	0.133300	0.110400	0.170200	0.136700	0.160400	0.112300
433806.6	0.166900	0.133400	0.108200	0.172300	0.136300	0.161500	0.109200
438971.0	0.166800	0.133500	0.109300	0.172400	0.136100	0.161800	0.110000
444135.3	0.164900	0.132500	0.108700	0.170600	0.134400	0.160200	0.106700
449299.7	0.165600	0.132200	0.108600	0.169800	0.135300	0.162200	0.107600
454464.0	0.163300	0.131900	0.108900	0.167300	0.135200	0.159900	0.110200
459628.4	0.164400	0.132500	0.107300	0.171200	0.133800	0.160500	0.107200
464792.8	0.161300	0.132700	0.111800	0.163600	0.136800	0.161800	0.111100
469957.1	0.162600	0.132600	0.108800	0.166200	0.137000	0.163600	0.110900
475121.5	0.160700	0.131700	0.110300	0.165400	0.135800	0.162700	0.111200
480285.9	0.161200	0.133400	0.108400	0.166700	0.135500	0.162200	0.109400
485450.2	0.160700	0.132600	0.108600	0.169600	0.134400	0.162600	0.108700
490614.6	0.160700	0.134300	0.111300	0.165400	0.135900	0.163200	0.110900
495778.9	0.161000	0.134200	0.110400	0.168600	0.135300	0.162300	0.109800
500943.3	0.160500	0.134000	0.110700	0.167200	0.134900	0.163100	0.108800
506107.7	0.161300	0.134800	0.111200	0.167500	0.136000	0.163300	0.110000
511272.0	0.160000	0.133500	0.110300	0.167400	0.134600	0.162700	0.109100
516436.4	0.159000	0.132900	0.109000	0.168700	0.133100	0.161500	0.107800
521600.8	0.157800	0.133800	0.107300	0.166000	0.132800	0.161900	0.107100
