VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
208915.7	0.376300	0.282000	0.316100	0.268500	0.216800	0.254200	0.133100	0.231600	0.351400	0.505600	0.432700	0.415700	0.438500
214011.2	0.377800	0.277200	0.305000	0.266200	0.221100	0.291200	0.155300	0.249900	0.375500	0.495800	0.413700	0.400500	0.468800
219106.7	0.389400	0.282700	0.314500	0.270200	0.221500	0.269800	0.143100	0.234700	0.363200	0.505300	0.431700	0.412900	0.451100
224202.3	0.396300	0.281300	0.312500	0.270900	0.221300	0.266600	0.142100	0.239700	0.367800	0.509700	0.428200	0.412500	0.457500
229297.8	0.402000	0.284500	0.319000	0.271600	0.219900	0.268100	0.143400	0.234800	0.362000	0.519000	0.440500	0.419500	0.449900
234393.3	0.411100	0.288700	0.323100	0.272800	0.222400	0.275400	0.148600	0.239000	0.367200	0.536100	0.443700	0.425100	0.453100
239488.8	0.412000	0.288500	0.323800	0.273600	0.221700	0.272200	0.147900	0.238000	0.370100	0.542500	0.443500	0.423300	0.455900
244584.3	0.411300	0.287800	0.322600	0.272600	0.221200	0.286300	0.155800	0.243800	0.377200	0.547700	0.438100	0.420600	0.459400
249679.8	0.420300	0.294200	0.331600	0.278100	0.221700	0.284000	0.155200	0.239500	0.372400	0.567900	0.450000	0.433200	0.457300
254775.3	0.431600	0.297700	0.328900	0.277300	0.229100	0.304500	0.166600	0.253200	0.392600	0.569100	0.444300	0.428100	0.478500
259870.8	0.432400	0.297100	0.328300	0.279300	0.226500	0.286900	0.156700	0.245500	0.381800	0.569800	0.444300	0.423800	0.464000
264966.3	0.437800	0.302500	0.337000	0.282200	0.227100	0.284600	0.155900	0.241400	0.375100	0.583000	0.453600	0.431200	0.456700
270061.8	0.435300	0.302100	0.339300	0.284000	0.227200	0.275100	0.150800	0.241400	0.375000	0.585100	0.451600	0.432000	0.460100
275157.3	0.432100	0.300200	0.338700	0.282500	0.227900	0.300300	0.165200	0.250900	0.389200	0.589400	0.445300	0.428100	0.475900
280252.8	0.425900	0.294600	0.333600	0.278500	0.223900	0.300900	0.166300	0.251500	0.389000	0.578700	0.437500	0.421300	0.476100
285348.3	0.424400	0.293900	0.334900	0.281000	0.221600	0.293500	0.161900	0.246900	0.382100	0.579100	0.439600	0.421500	0.466500
290443.8	0.428600	0.296200	0.339200	0.282700	0.219300	0.281300	0.154800	0.241100	0.377900	0.588300	0.448600	0.428000	0.461300
295539.3	0.424800	0.294300	0.338300	0.281900	0.216800	0.277200	0.152300	0.243000	0.374100	0.588700	0.444000	0.424900	0.457500
300634.8	0.424800	0.295000	0.340500	0.282700	0.217800	0.279200	0.153800	0.241900	0.372600	0.587700	0.445100	0.422800	0.454000
305730.3	0.422900	0.290500	0.333500	0.279100	0.218100	0.294300	0.161300	0.258000	0.387600	0.589400	0.435900	0.418500	0.474500
310825.8	0.425100	0.294100	0.336900	0.283400	0.217300	0.277300	0.151300	0.246000	0.373800	0.596600	0.446700	0.424600	0.454800
315921.3	0.425000	0.292400	0.335300	0.281500	0.219900	0.278500	0.151400	0.254400	0.384600	0.602600	0.439200	0.421300	0.470000
321016.8	0.420600	0.291000	0.334700	0.280300	0.220000	0.287000	0.156200	0.252700	0.383300	0.606400	0.438500	0.422100	0.471300
326112.4	0.419900	0.289600	0.332200	0.278500	0.220100	0.285500	0.155900	0.253900	0.381000	0.603600	0.435300	0.417800	0.472000
331207.9	0.419400	0.288800	0.331200	0.281900	0.220900	0.281400	0.151500	0.251000	0.380100	0.606700	0.438400	0.419000	0.463200
336303.4	0.415900	0.287900	0.332100	0.280500	0.219800	0.277300	0.149400	0.246100	0.375500	0.610500	0.436500	0.418300	0.463000
341398.9	0.416000	0.287000	0.331600	0.279900	0.220700	0.280200	0.152100	0.246700	0.378700	0.614300	0.437700	0.420700	0.464300
346494.4	0.411000	0.282500	0.326800	0.274800	0.220900	0.300900	0.163600	0.249200	0.383300	0.609900	0.428700	0.413500	0.479500
351589.9	0.412400	0.281500	0.324900	0.273700	0.221700	0.290700	0.158400	0.249600	0.383000	0.607500	0.428200	0.411300	0.474300
356685.4	0.414700	0.282600	0.329700	0.277300	0.220900	0.269200	0.145600	0.237400	0.371200	0.616300	0.435900	0.417200	0.460200
361780.9	0.412800	0.278900	0.325600	0.275500	0.221400	0.281900	0.151100	0.242100	0.375800	0.612400	0.429500	0.413700	0.463100
366876.4	0.407000	0.277400	0.326000	0.275000	0.219400	0.284000	0.153400	0.240600	0.376100	0.612000	0.430600	0.412300	0.467900
371971.9	0.410600	0.280000	0.332400	0.278200	0.221400	0.276600	0.147100	0.240200	0.372900	0.625000	0.439000	0.420400	0.460800
377067.4	0.405800	0.273100	0.319300	0.271700	0.221000	0.280400	0.150700	0.246800	0.381200	0.607300	0.419200	0.407000	0.471900
382162.9	0.393500	0.270100	0.313400	0.265300	0.217100	0.283600	0.152200	0.241900	0.369600	0.599000	0.419000	0.401900	0.459300
387258.4	0.381700	0.270900	0.316000	0.264900	0.216800	0.284900	0.152000	0.237000	0.364600	0.602900	0.419200	0.403800	0.460000
392353.9	0.348000	0.265000	0.302400	0.252500	0.210400	0.270300	0.141200	0.224200	0.346700	0.582000	0.405700	0.389200	0.441200
397449.4	0.323100	0.258700	0.293100	0.244200	0.203100	0.273400	0.140700	0.213500	0.334800	0.562300	0.393800	0.379000	0.435600
402544.9	0.308600	0.252800	0.283500	0.235100	0.198300	0.261300	0.130800	0.204800	0.325500	0.541000	0.382900	0.367200	0.422600
407640.4	0.295600	0.248800	0.280700	0.231800	0.192200	0.252300	0.124100	0.191600	0.306200	0.522000	0.378200	0.359200	0.401200
412735.9	0.289400	0.246100	0.272600	0.226300	0.190600	0.258300	0.127100	0.195000	0.312700	0.510600	0.370000	0.353200	0.414200
417831.4	0.284400	0.243200	0.267200	0.222000	0.187700	0.255100	0.122900	0.190900	0.307200	0.492900	0.365800	0.347000	0.408900
422927.0	0.278700	0.239800	0.264500	0.219100	0.186900	0.256600	0.122800	0.189500	0.305900	0.480500	0.358300	0.339100	0.409000
428022.5	0.274700	0.236000	0.259000	0.215600	0.185500	0.263000	0.125600	0.190100	0.305700	0.464800	0.351700	0.333100	0.410200
433118.0	0.274000	0.237700	0.260800	0.215100	0.185400	0.261400	0.123200	0.187100	0.304300	0.464600	0.353900	0.334800	0.413000
438213.5	0.271100	0.238200	0.263600	0.217000	0.184400	0.262400	0.122300	0.186900	0.300800	0.453900	0.357000	0.334900	0.411400
443309.0	0.272000	0.237700	0.262800	0.214600	0.184500	0.257300	0.119500	0.182000	0.298300	0.445000	0.356400	0.332700	0.408000
448404.5	0.270200	0.235800	0.260000	0.214600	0.184800	0.264800	0.123000	0.187200	0.303200	0.435500	0.351000	0.327000	0.416000
453500.0	0.269300	0.235200	0.259900	0.213700	0.184400	0.256000	0.116900	0.184500	0.300100	0.423700	0.349500	0.325600	0.410200
458595.5	0.268800	0.234100	0.260200	0.213500	0.183300	0.260100	0.119200	0.185400	0.299200	0.414600	0.350100	0.326300	0.413400
463691.0	0.267900	0.231900	0.253300	0.210600	0.184900	0.272100	0.125700	0.190600	0.306600	0.401200	0.341500	0.317300	0.425700
468786.5	0.269900	0.233500	0.258100	0.213600	0.185000	0.255200	0.116400	0.183400	0.298300	0.396200	0.348000	0.322500	0.411200
473882.0	0.270300	0.233600	0.259100	0.214600	0.184100	0.263300	0.121900	0.182600	0.298400	0.391600	0.349100	0.322600	0.416500
478977.5	0.270700	0.232900	0.258800	0.215000	0.184200	0.261100	0.120100	0.183400	0.298600	0.383400	0.349600	0.321500	0.411600
484073.0	0.271100	0.230400	0.253200	0.210900	0.183300	0.249600	0.114300	0.181000	0.299000	0.367900	0.343100	0.316700	0.410600
489168.5	0.270400	0.227900	0.250500	0.209100	0.182800	0.251500	0.116200	0.181700	0.296900	0.358900	0.338600	0.312200	0.409800
494264.0	0.269200	0.226300	0.248200	0.208200	0.181800	0.253700	0.117200	0.182000	0.295200	0.350800	0.335600	0.309600	0.409400
499359.5	0.271600	0.227700	0.248400	0.207600	0.182300	0.246600	0.113800	0.180600	0.295500	0.346100	0.337500	0.310700	0.405200
504455.0	0.271300	0.228600	0.251300	0.209300	0.182200	0.241500	0.111100	0.175300	0.285700	0.344500	0.342200	0.314000	0.391000
509550.5	0.277000	0.230100	0.254600	0.211000	0.186400	0.246900	0.115400	0.181900	0.296700	0.345700	0.344500	0.318400	0.407200
514646.0	0.301300	0.238600	0.270200	0.224000	0.195400	0.247600	0.117300	0.190100	0.309100	0.365600	0.360900	0.338000	0.421100
519741.5	0.328700	0.246800	0.282700	0.236600	0.206900	0.255700	0.126400	0.203000	0.328500	0.389500	0.374300	0.358100	0.441900
524837.0	0.346100	0.250500	0.292300	0.245300	0.211500	0.252500	0.126100	0.209300	0.336100	0.407600	0.383500	0.369300	0.448600
529932.6	0.361700	0.253200	0.295000	0.248500	0.217500	0.255000	0.130700	0.219700	0.350500	0.419000	0.385500	0.375900	0.460200
535028.1	0.373500	0.257800	0.305700	0.254800	0.221500	0.256800	0.133600	0.220700	0.356300	0.438800	0.395400	0.389400	0.466400
540123.6	0.383200	0.260300	0.308100	0.256600	0.225800	0.259900	0.136400	0.229200	0.365100	0.449500	0.403000	0.394300	0.476700
545219.1	0.386200	0.262000	0.315000	0.261200	0.225300	0.240600	0.127000	0.224000	0.358600	0.460000	0.413200	0.402400	0.458900
550314.6	0.390800	0.261400	0.315400	0.262300	0.226200	0.247000	0.132700	0.228900	0.368400	0.464200	0.409800	0.398000	0.470400
555410.1	0.395400	0.263100	0.319300	0.264300	0.226600	0.241800	0.129400	0.227200	0.367500	0.470100	0.420200	0.405200	0.460400
560505.6	0.393300	0.259600	0.311800	0.259000	0.228300	0.270200	0.146500	0.244700	0.392600	0.464500	0.404800	0.395000	0.495300
565601.1	0.401100	0.265100	0.323600	0.265200	0.229000	0.249100	0.133300	0.234900	0.377500	0.474800	0.423100	0.407300	0.470900
570696.6	0.399200	0.261300	0.317800	0.263900	0.228700	0.253900	0.137200	0.238500	0.387300	0.468300	0.412400	0.398600	0.478200
575792.1	0.404400	0.263200	0.322800	0.267200	0.231900	0.252400	0.135600	0.246900	0.391900	0.470700	0.417400	0.400700	0.478700
580887.6	0.405700	0.264000	0.326700	0.269100	0.233600	0.265300	0.144200	0.251800	0.395300	0.473500	0.419100	0.403900	0.484200
585983.1	0.405400	0.265100	0.329600	0.269900	0.232400	0.253900	0.138300	0.248800	0.392900	0.472300	0.426700	0.406700	0.474200
591078.6	0.403800	0.265400	0.333000	0.272200	0.230100	0.244300	0.133500	0.241300	0.383900	0.480600	0.431700	0.412700	0.463700
596174.1	0.398800	0.261400	0.325300	0.269300	0.230000	0.256200	0.139300	0.250800	0.396900	0.468700	0.421400	0.402500	0.476300
601269.6	0.397000	0.261200	0.329300	0.269300	0.225800	0.244600	0.130900	0.239600	0.382900	0.470100	0.427700	0.405700	0.456500
606365.1	0.396900	0.257100	0.320800	0.263100	0.227300	0.271700	0.143300	0.258400	0.403900	0.461000	0.416600	0.397900	0.486800
611460.6	0.403300	0.260700	0.328300	0.267500	0.233000	0.267700	0.141000	0.258200	0.405800	0.472400	0.424900	0.403600	0.486400
616556.1	0.411200	0.268600	0.347800	0.278100	0.234200	0.258100	0.135800	0.248600	0.392500	0.488600	0.451700	0.424700	0.469300
621651.6	0.412200	0.267200	0.339400	0.276700	0.234300	0.261900	0.141700	0.254000	0.402400	0.486800	0.442500	0.420500	0.482300
626747.1	0.412100	0.267000	0.340700	0.274900	0.234000	0.268300	0.145500	0.258600	0.410800	0.488700	0.442200	0.420400	0.490400
631842.6	0.412100	0.268200	0.343400	0.279900	0.232000	0.261900	0.143100	0.257100	0.409000	0.488200	0.450200	0.423300	0.484800
636938.2	0.414200	0.267800	0.339200	0.278700	0.233500	0.263400	0.143400	0.259500	0.420600	0.486800	0.445000	0.421200	0.493500
642033.7	0.417700	0.270300	0.342500	0.279000	0.232500	0.266900	0.145300	0.263100	0.418300	0.491300	0.453100	0.425100	0.492400
647129.2	0.418500	0.268900	0.336100	0.276700	0.236100	0.288800	0.158000	0.276500	0.435500	0.489300	0.444200	0.418900	0.514600
652224.7	0.417700	0.270500	0.340300	0.280300	0.235100	0.276700	0.150700	0.269800	0.430100	0.492600	0.450500	0.423800	0.505400
657320.2	0.423300	0.273800	0.349400	0.286200	0.236300	0.270100	0.146000	0.267900	0.422000	0.496400	0.464100	0.431600	0.496300
662415.7	0.424100	0.276000	0.357600	0.291000	0.234900	0.254400	0.138300	0.259800	0.412600	0.505400	0.473000	0.440500	0.485300
667511.2	0.421300	0.271300	0.349500	0.286500	0.235500	0.273300	0.151100	0.270100	0.426300	0.495900	0.455400	0.428900	0.504600
672606.7	0.419800	0.273700	0.356800	0.290100	0.234800	0.266700	0.146200	0.263700	0.418500	0.504000	0.467600	0.435800	0.493300
677702.2	0.419400	0.274300	0.359100	0.293600	0.235800	0.265900	0.145600	0.261600	0.414200	0.507000	0.472800	0.439400	0.494600
682797.7	0.418000	0.273200	0.355800	0.291200	0.236000	0.272600	0.149400	0.274400	0.425700	0.504700	0.465600	0.432700	0.504000
687893.2	0.418700	0.271000	0.351600	0.288500	0.237600	0.271100	0.147400	0.273800	0.429600	0.500900	0.462000	0.429500	0.509300
692988.7	0.413500	0.269500	0.352800	0.287500	0.235800	0.263900	0.145100	0.266800	0.416800	0.498800	0.462300	0.427100	0.498800
698084.2	0.412700	0.270500	0.354000	0.288600	0.236800	0.273200	0.149500	0.269100	0.416100	0.506200	0.465300	0.432400	0.494500
703179.7	0.411200	0.270300	0.355400	0.290000	0.237500	0.265900	0.145200	0.268600	0.417000	0.502700	0.469900	0.434700	0.494300
708275.2	0.405800	0.266100	0.347000	0.285800	0.239500	0.275400	0.150400	0.281100	0.429700	0.495000	0.452700	0.421300	0.514700
713370.7	0.401100	0.266700	0.353500	0.287900	0.237000	0.260300	0.140600	0.268200	0.408900	0.495200	0.461800	0.426700	0.486100
718466.2	0.397900	0.264500	0.349100	0.287100	0.238000	0.272100	0.150600	0.274900	0.422100	0.496200	0.455400	0.422900	0.504800
723561.7	0.394700	0.265000	0.349800	0.287100	0.237500	0.263300	0.142700	0.267100	0.412300	0.494300	0.459900	0.421900	0.490800
728657.2	0.390600	0.262100	0.342200	0.284200	0.234700	0.264000	0.144200	0.272100	0.409600	0.490600	0.453300	0.420800	0.492300
733752.7	0.385900	0.261100	0.340800	0.283000	0.233600	0.275900	0.150900	0.275600	0.409000	0.486000	0.447700	0.416600	0.495800
738848.3	0.390100	0.266300	0.350000	0.289500	0.236600	0.252300	0.136300	0.269700	0.401900	0.494600	0.462700	0.425300	0.480800
743943.8	0.386400	0.265400	0.350400	0.285800	0.233300	0.264000	0.142100	0.269400	0.400300	0.491900	0.461200	0.424300	0.483400
749039.3	0.380900	0.264000	0.349400	0.286700	0.231600	0.256500	0.140300	0.268500	0.399200	0.489100	0.456700	0.420700	0.484000
754134.8	0.380300	0.264700	0.348000	0.285300	0.228100	0.255300	0.138100	0.262600	0.396000	0.487100	0.457900	0.420200	0.480500
759230.3	0.385900	0.267700	0.354700	0.291700	0.230500	0.253000	0.137400	0.261600	0.396400	0.493700	0.465300	0.427400	0.478900
764325.8	0.378100	0.261200	0.344700	0.283000	0.228100	0.254200	0.139200	0.262400	0.393700	0.480900	0.450000	0.413700	0.478700
769421.3	0.371800	0.259500	0.339200	0.279200	0.226700	0.254400	0.137500	0.260000	0.387300	0.476200	0.447300	0.409100	0.472900
774516.8	0.368500	0.256000	0.332500	0.274800	0.227400	0.272200	0.148600	0.266800	0.386600	0.472300	0.435600	0.398900	0.476000
779612.3	0.368100	0.259700	0.337700	0.275000	0.226700	0.248900	0.133700	0.249000	0.371800	0.478800	0.446700	0.406100	0.455000
784707.8	0.357900	0.256300	0.332400	0.270600	0.222000	0.248600	0.133700	0.249900	0.372300	0.469500	0.437700	0.399000	0.458400
789803.3	0.356200	0.254700	0.330800	0.269400	0.221600	0.243300	0.131500	0.242300	0.364100	0.467700	0.437200	0.395700	0.450900
794898.8	0.351400	0.250000	0.323100	0.263700	0.219800	0.250900	0.135700	0.249200	0.371300	0.459100	0.427700	0.387100	0.462700
799994.3	0.350400	0.250300	0.323700	0.262600	0.218800	0.258200	0.138700	0.243600	0.367600	0.455300	0.427700	0.385900	0.460100
805089.8	0.350400	0.249600	0.321400	0.262200	0.218200	0.251900	0.133000	0.244300	0.366300	0.452600	0.426700	0.385900	0.457000
810185.3	0.349000	0.249400	0.320300	0.262800	0.218400	0.250900	0.133800	0.239100	0.359700	0.450200	0.426500	0.384400	0.447800
815280.8	0.344300	0.247800	0.318000	0.259800	0.218000	0.238100	0.125800	0.232400	0.354600	0.448200	0.421300	0.380600	0.443800
820376.3	0.344100	0.250300	0.318800	0.262300	0.218100	0.241900	0.128600	0.231500	0.351400	0.451000	0.427300	0.383300	0.442200
825471.8	0.340600	0.247600	0.314600	0.256400	0.218800	0.248400	0.132700	0.235700	0.351500	0.446100	0.418300	0.377200	0.439700
830567.3	0.336700	0.246300	0.309600	0.255500	0.219500	0.254500	0.137500	0.236200	0.349200	0.443000	0.412500	0.372700	0.442200
835662.8	0.331700	0.245500	0.313600	0.256600	0.217600	0.251700	0.136300	0.231600	0.349000	0.441500	0.412900	0.372200	0.443000
840758.3	0.333100	0.246400	0.315000	0.256700	0.218300	0.242300	0.129100	0.230800	0.344200	0.441300	0.415800	0.374200	0.433900
845853.8	0.327400	0.242800	0.310100	0.253500	0.218000	0.240500	0.128600	0.230800	0.343000	0.433700	0.406800	0.367200	0.437600
