VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13
203269.4	0.232500	0.220400	0.223800	0.261600	0.204400	0.227400	0.171100	0.092200	0.134000	0.135000	0.161500	0.177300	0.237500
208227.2	0.231600	0.221500	0.224800	0.267300	0.215300	0.235400	0.169100	0.090300	0.130600	0.127000	0.154900	0.175400	0.236400
213185.0	0.228100	0.218200	0.221600	0.267900	0.219700	0.234500	0.169500	0.093100	0.129600	0.127200	0.154700	0.172300	0.234200
218142.7	0.225500	0.216700	0.218600	0.268500	0.224200	0.232700	0.171500	0.097800	0.132400	0.128000	0.156500	0.169600	0.232600
223100.5	0.219800	0.211700	0.213500	0.263100	0.222900	0.225600	0.172900	0.104500	0.134700	0.131900	0.160300	0.166000	0.231100
228058.3	0.217300	0.209000	0.211700	0.264100	0.228000	0.227100	0.170700	0.106800	0.134300	0.130600	0.157800	0.164900	0.229000
233016.1	0.215800	0.208300	0.209300	0.264700	0.237000	0.228800	0.168400	0.108000	0.133500	0.128900	0.155800	0.163300	0.225600
237973.9	0.213300	0.206000	0.208400	0.264300	0.241200	0.230100	0.166100	0.101700	0.128700	0.120600	0.148500	0.162500	0.223800
242931.7	0.207100	0.199000	0.200500	0.252800	0.235400	0.221700	0.166300	0.105200	0.130400	0.123500	0.149300	0.158800	0.221800
247889.5	0.203200	0.198700	0.200600	0.254100	0.242100	0.224200	0.163000	0.102700	0.127900	0.118600	0.144400	0.158200	0.220200
