VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
327214.2	0.194200	0.429300	0.461200	0.585600	0.239900	0.198700	0.157700	0.081000
332172.0	0.200100	0.444700	0.474200	0.590000	0.242600	0.186200	0.154000	0.075900
337129.7	0.198000	0.453200	0.473900	0.591000	0.243600	0.191100	0.154900	0.078900
342087.5	0.199200	0.461500	0.476700	0.586200	0.242100	0.188000	0.154700	0.077700
347045.3	0.200100	0.477600	0.488300	0.596400	0.249900	0.192700	0.157900	0.077000
352003.1	0.199400	0.485700	0.490500	0.598800	0.253800	0.195100	0.162800	0.078700
356960.9	0.199800	0.484900	0.492200	0.587700	0.243300	0.195100	0.157100	0.077700
361918.7	0.197400	0.487400	0.490900	0.581800	0.240300	0.196100	0.160000	0.077100
366876.5	0.205400	0.502300	0.505000	0.593800	0.248900	0.182200	0.156200	0.069500
371834.3	0.200600	0.497600	0.500000	0.581800	0.242700	0.184700	0.153900	0.076800
376792.1	0.197800	0.501100	0.497600	0.587900	0.246300	0.197000	0.157000	0.079200
381749.8	0.202200	0.510500	0.509500	0.590900	0.244800	0.190200	0.159200	0.077100
386707.6	0.204500	0.520300	0.511100	0.592700	0.250800	0.186600	0.155200	0.078500
391665.4	0.200300	0.516500	0.500600	0.586100	0.246600	0.189600	0.155500	0.083300
396623.2	0.201500	0.521600	0.506400	0.589300	0.241700	0.192600	0.160500	0.080000
401581.0	0.202100	0.529400	0.508100	0.596200	0.245800	0.194900	0.160700	0.077000
406538.8	0.196900	0.519800	0.492900	0.587800	0.240200	0.196200	0.162300	0.084300
411496.6	0.199600	0.533900	0.497700	0.597500	0.249000	0.184000	0.160100	0.075000
416454.4	0.200400	0.538500	0.499300	0.600400	0.249300	0.188100	0.161500	0.076300
421412.2	0.200800	0.544300	0.503800	0.597100	0.244800	0.187900	0.163400	0.073500
