VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)
GraphNo	1	2	3	4	5	6	7	8	9	10
0.0	0.196400	0.230700	0.254900	0.179000	0.183800	0.156400	0.258000	0.195600	0.138300	0.272900
5164.4	0.195300	0.231100	0.258100	0.177100	0.180700	0.155400	0.252600	0.195600	0.136000	0.273500
10328.7	0.194400	0.226000	0.257800	0.176000	0.181000	0.153800	0.253500	0.190400	0.137500	0.268000
15493.1	0.192700	0.222500	0.254800	0.176000	0.181200	0.154400	0.255600	0.188100	0.137400	0.265300
20657.4	0.172700	0.225300	0.206900	0.149600	0.141700	0.118600	0.216600	0.211500	0.119600	0.297400
25821.8	0.198100	0.229700	0.254300	0.179800	0.178900	0.154100	0.237700	0.198800	0.129100	0.278600
30986.2	0.197000	0.226900	0.252000	0.179700	0.179200	0.154800	0.237800	0.194900	0.129400	0.274200
36150.5	0.197700	0.231500	0.250100	0.180500	0.177600	0.154800	0.235000	0.200300	0.128500	0.279800
41314.9	0.196200	0.227700	0.245100	0.180400	0.177800	0.153800	0.235800	0.196400	0.130700	0.271200
46479.3	0.200700	0.237100	0.251400	0.180600	0.176800	0.153900	0.234700	0.205400	0.127700	0.285900
51643.6	0.200800	0.238100	0.258400	0.180400	0.177600	0.154600	0.234100	0.207500	0.128600	0.287100
56808.0	0.199300	0.240400	0.258300	0.180300	0.175800	0.153200	0.233500	0.205800	0.129100	0.285600
61972.4	0.195300	0.232400	0.255800	0.180200	0.182300	0.153400	0.232200	0.199000	0.139500	0.274400
67136.7	0.206200	0.250300	0.269400	0.190300	0.184100	0.159100	0.249500	0.218300	0.148700	0.295000
72301.1	0.205800	0.249600	0.262100	0.188400	0.184700	0.159800	0.245900	0.217800	0.146500	0.297800
77465.5	0.210500	0.250100	0.268400	0.268200	0.200700	0.162000	0.246000	0.222300	0.146200	0.304800
82629.8	0.392900	0.320300	0.303200	0.373000	0.222200	0.160800	0.357200	0.377500	0.135800	0.569600
87794.2	0.378200	0.437200	0.307800	0.357100	0.226700	0.164700	0.461000	0.399900	0.135300	0.536300
92958.6	0.360300	0.419000	0.300500	0.352200	0.227400	0.167600	0.452700	0.390300	0.135800	0.496700
98122.9	0.347100	0.390400	0.295500	0.353300	0.229700	0.168900	0.430100	0.378900	0.138000	0.473500
103287.3	0.342400	0.381800	0.294300	0.360600	0.228200	0.166800	0.396200	0.379800	0.137700	0.465400
108451.6	0.336200	0.370400	0.287900	0.365600	0.228300	0.167600	0.374500	0.371000	0.140400	0.440700
113616.0	0.325700	0.363500	0.285900	0.376000	0.227900	0.167200	0.349600	0.374600	0.140300	0.429700
118780.4	0.319000	0.349700	0.285600	0.382400	0.227300	0.167600	0.331900	0.380000	0.139500	0.421600
123944.7	0.309900	0.329100	0.282400	0.384900	0.229400	0.167500	0.325800	0.371700	0.142600	0.406100
129109.1	0.314000	0.326300	0.281900	0.388000	0.226700	0.168200	0.314500	0.380600	0.141000	0.407900
134273.5	0.314500	0.318300	0.285500	0.398500	0.230400	0.171400	0.308200	0.387100	0.141600	0.406200
139437.8	0.309000	0.303700	0.280900	0.405600	0.229500	0.169100	0.294900	0.381700	0.140200	0.393300
144602.2	0.300100	0.292000	0.276200	0.411300	0.230100	0.171000	0.288900	0.375200	0.140000	0.387400
149766.6	0.298000	0.281700	0.279000	0.418300	0.229600	0.169700	0.285400	0.363800	0.142800	0.374300
154930.9	0.291300	0.274600	0.274000	0.419700	0.229900	0.170700	0.269300	0.360900	0.140800	0.372100
160095.3	0.287000	0.262300	0.275800	0.421300	0.233600	0.173500	0.265300	0.347600	0.142800	0.359600
165259.7	0.287500	0.262000	0.276200	0.429100	0.225700	0.171000	0.234200	0.346200	0.128800	0.354300
170424.0	0.283400	0.259500	0.278700	0.444300	0.226900	0.171200	0.227700	0.352300	0.127700	0.356500
175588.4	0.278500	0.254200	0.275000	0.458000	0.228600	0.174400	0.224500	0.348200	0.128500	0.350500
180752.7	0.273800	0.250500	0.274600	0.464100	0.227900	0.174300	0.222100	0.343900	0.129600	0.344100
185917.1	0.265900	0.247900	0.272500	0.469200	0.229200	0.173900	0.219400	0.340400	0.130300	0.339000
191081.5	0.261500	0.245300	0.271800	0.478700	0.230400	0.173300	0.218800	0.337600	0.130300	0.338700
196245.8	0.255900	0.240600	0.275800	0.479000	0.231300	0.175900	0.219200	0.340600	0.133200	0.336500
201410.2	0.251600	0.230500	0.272800	0.481300	0.231900	0.176200	0.215300	0.334700	0.133500	0.328500
206574.6	0.248400	0.222100	0.271900	0.482000	0.231100	0.176700	0.214100	0.330500	0.132900	0.324300
211738.9	0.244000	0.215800	0.284300	0.486000	0.225800	0.175200	0.211800	0.325000	0.133400	0.323200
216903.3	0.239600	0.213900	0.373200	0.479500	0.219500	0.174800	0.210000	0.322500	0.132800	0.322800
222067.7	0.237100	0.208400	0.362400	0.463400	0.214700	0.172100	0.209200	0.312900	0.134700	0.315300
227232.0	0.235300	0.205600	0.358800	0.451800	0.211800	0.171700	0.208300	0.310100	0.134600	0.313400
232396.4	0.231200	0.204900	0.351100	0.440200	0.212300	0.172500	0.205400	0.309200	0.134100	0.314700
237560.7	0.230300	0.200500	0.348600	0.437300	0.210800	0.172200	0.205400	0.303700	0.135200	0.311300
242725.1	0.229700	0.201400	0.352300	0.433100	0.208600	0.172900	0.203900	0.306800	0.133900	0.316600
247889.5	0.229800	0.199800	0.354400	0.432700	0.207100	0.171500	0.204200	0.299100	0.134200	0.316000
253053.8	0.230000	0.197100	0.349100	0.420700	0.206700	0.170600	0.204500	0.297600	0.135500	0.313900
258218.2	0.231800	0.197900	0.348600	0.410700	0.206300	0.171600	0.202400	0.294300	0.133600	0.312700
263382.6	0.235500	0.198700	0.350400	0.402200	0.206700	0.172400	0.202700	0.295500	0.134600	0.312600
268546.9	0.235700	0.197900	0.350300	0.390800	0.204600	0.171600	0.202900	0.288700	0.134400	0.305400
273711.3	0.236300	0.198700	0.347600	0.379000	0.203200	0.170900	0.202500	0.288700	0.134600	0.304500
278875.7	0.233800	0.194300	0.350100	0.369400	0.204800	0.173600	0.207700	0.278900	0.137300	0.294100
284040.0	0.224600	0.186800	0.342200	0.351400	0.199800	0.163100	0.209900	0.265800	0.140300	0.277800
289204.4	0.222400	0.185300	0.342400	0.342600	0.199600	0.165900	0.209400	0.261600	0.140600	0.274400
294368.7	0.224300	0.189900	0.347300	0.336900	0.198600	0.166100	0.206700	0.268200	0.138500	0.278700
299533.1	0.219700	0.187600	0.347600	0.323700	0.198700	0.167300	0.209200	0.260200	0.140400	0.268300
304697.5	0.216800	0.185400	0.348800	0.316200	0.197600	0.167200	0.208600	0.253700	0.140400	0.260800
309861.8	0.216200	0.187400	0.353900	0.309800	0.199000	0.168500	0.209000	0.255100	0.140700	0.260700
315026.2	0.214900	0.186400	0.355500	0.301700	0.198000	0.168600	0.208200	0.255400	0.141100	0.256700
320190.6	0.212800	0.182900	0.360000	0.297200	0.197000	0.165200	0.210900	0.250300	0.142600	0.249600
325354.9	0.213000	0.186000	0.360600	0.291100	0.196800	0.165900	0.205700	0.260200	0.140100	0.252000
330519.3	0.210700	0.186600	0.357500	0.284100	0.195500	0.164700	0.205500	0.259300	0.139300	0.249300
335683.7	0.214800	0.188900	0.362500	0.282300	0.196000	0.166800	0.204900	0.267900	0.137500	0.253400
340848.0	0.211200	0.183700	0.359900	0.279400	0.195800	0.165600	0.207800	0.262800	0.140300	0.242700
346012.4	0.210800	0.183900	0.362400	0.271700	0.193700	0.165300	0.202600	0.267300	0.138200	0.243400
351176.7	0.210900	0.185900	0.361800	0.266900	0.194000	0.165900	0.201100	0.273500	0.136000	0.246300
