VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
227232.0	0.221200	0.281100	0.188600	0.253600	0.249000	0.178700	0.157500	0.219200	0.245900	0.142200	0.142100	0.146200
232396.4	0.217500	0.295100	0.219500	0.267700	0.240900	0.167900	0.143200	0.205600	0.235200	0.130200	0.130000	0.138000
237560.8	0.227400	0.286000	0.193200	0.259600	0.253700	0.183800	0.155200	0.232600	0.245000	0.140800	0.138400	0.147000
242725.1	0.217600	0.284800	0.204100	0.261400	0.237100	0.171400	0.149000	0.199900	0.234200	0.134600	0.133800	0.141500
247889.5	0.222600	0.281100	0.198300	0.259600	0.241300	0.175600	0.146900	0.211200	0.239000	0.136100	0.134000	0.142300
253053.8	0.215100	0.282700	0.210800	0.266300	0.229600	0.166300	0.140900	0.190700	0.231700	0.131500	0.129400	0.138400
258218.2	0.223300	0.277700	0.199200	0.261400	0.238500	0.178300	0.149200	0.208800	0.238800	0.138400	0.137300	0.146000
263382.6	0.223300	0.280300	0.201700	0.265100	0.240400	0.178300	0.146900	0.221000	0.237600	0.139300	0.135900	0.146900
268546.9	0.222300	0.275100	0.196000	0.260000	0.236300	0.177600	0.148300	0.209700	0.237600	0.137600	0.134700	0.145700
273711.3	0.219100	0.277600	0.206000	0.265100	0.230300	0.173300	0.144900	0.204800	0.234500	0.136400	0.132300	0.144000
278875.7	0.226000	0.277600	0.200400	0.263700	0.237500	0.179800	0.146300	0.218300	0.236400	0.136400	0.131600	0.142800
284040.0	0.231600	0.274500	0.190900	0.263200	0.246900	0.191700	0.155100	0.236700	0.244000	0.144900	0.139700	0.153600
289204.4	0.224500	0.263000	0.180300	0.252800	0.238200	0.185300	0.150700	0.224700	0.237200	0.141600	0.135500	0.147700
294368.8	0.219300	0.266600	0.197000	0.258300	0.226100	0.175500	0.144500	0.199200	0.229900	0.135600	0.130400	0.144500
299533.1	0.224800	0.267700	0.194200	0.260500	0.234400	0.182300	0.146100	0.219000	0.232800	0.137500	0.132600	0.144700
304697.5	0.218900	0.265300	0.205800	0.261400	0.224400	0.172100	0.138000	0.199500	0.224700	0.130000	0.124100	0.137600
309861.8	0.222300	0.271100	0.204300	0.264800	0.226600	0.176400	0.141100	0.200000	0.228500	0.134000	0.128300	0.141500
315026.2	0.227400	0.260000	0.185700	0.256400	0.236000	0.188600	0.149700	0.226400	0.233400	0.140600	0.135100	0.148900
320190.6	0.210900	0.264700	0.220100	0.266400	0.213500	0.162600	0.129200	0.179900	0.214400	0.124900	0.118700	0.133400
325354.9	0.221800	0.257100	0.193900	0.255200	0.225700	0.181900	0.147300	0.208600	0.224900	0.139000	0.134400	0.146300
330519.3	0.227900	0.252900	0.172600	0.249200	0.237100	0.192200	0.153200	0.228900	0.233300	0.144800	0.138400	0.152600
335683.7	0.222700	0.262500	0.202500	0.261700	0.225200	0.174700	0.134300	0.203000	0.221800	0.131700	0.123900	0.138500
340848.0	0.223500	0.256000	0.187800	0.255000	0.229300	0.181600	0.141800	0.216600	0.224000	0.138500	0.130400	0.146400
346012.4	0.219000	0.257800	0.200500	0.258400	0.222400	0.176100	0.136900	0.206500	0.216600	0.131300	0.124500	0.136900
351176.7	0.213600	0.249700	0.192900	0.250300	0.216200	0.171700	0.136600	0.194400	0.211100	0.132000	0.123900	0.138600
356341.1	0.213400	0.247300	0.190400	0.249000	0.215300	0.168900	0.132500	0.194000	0.206700	0.127300	0.120100	0.134900
361505.5	0.208600	0.245300	0.193300	0.246900	0.211900	0.168500	0.135200	0.189200	0.206400	0.130100	0.124100	0.136600
366669.8	0.212900	0.249600	0.198700	0.252800	0.216600	0.167900	0.130200	0.190600	0.204800	0.125300	0.118200	0.131600
371834.2	0.225900	0.249700	0.176500	0.247400	0.234700	0.190000	0.149500	0.233100	0.222700	0.143200	0.135300	0.150300
