VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
0.0	0.316000	0.362800	0.232900	0.233300	0.216000	0.233800	0.259500	0.304300	0.167700	0.145000	0.203700	0.214100
5095.5	0.322400	0.374900	0.238900	0.239800	0.220600	0.238400	0.264300	0.318900	0.161400	0.134500	0.188600	0.206300
10191.0	0.323100	0.376400	0.241500	0.240600	0.222800	0.234300	0.267400	0.317500	0.163400	0.135900	0.199500	0.207200
15286.5	0.325000	0.376400	0.239400	0.237000	0.221600	0.237700	0.265600	0.312700	0.162700	0.138000	0.202100	0.206100
20382.0	0.327200	0.377600	0.238700	0.234400	0.225000	0.240300	0.266100	0.306300	0.166600	0.145000	0.214300	0.210600
25477.5	0.327300	0.381800	0.240700	0.233200	0.223700	0.241200	0.268300	0.311200	0.163800	0.139700	0.201600	0.206900
30573.0	0.328600	0.383500	0.242400	0.232700	0.223700	0.239600	0.270000	0.313200	0.164600	0.142000	0.202900	0.205100
35668.6	0.327700	0.388900	0.244600	0.233800	0.224200	0.244200	0.272500	0.317400	0.163000	0.136100	0.187300	0.202900
40764.1	0.333200	0.395100	0.247000	0.233800	0.224300	0.246400	0.276500	0.320800	0.162200	0.139100	0.196700	0.201500
45859.6	0.329700	0.389700	0.246800	0.229900	0.226700	0.247700	0.276900	0.309800	0.166300	0.144100	0.200000	0.206700
50955.1	0.331800	0.394900	0.248500	0.229200	0.225800	0.249000	0.277600	0.311200	0.164800	0.143200	0.196000	0.204600
56050.6	0.335900	0.400500	0.250700	0.228500	0.225600	0.250500	0.280800	0.312900	0.165300	0.145100	0.201700	0.205200
61146.1	0.337800	0.405000	0.252700	0.229200	0.225400	0.252600	0.282500	0.319700	0.164300	0.141000	0.191500	0.200700
66241.6	0.337300	0.402700	0.251500	0.227800	0.223500	0.251200	0.279800	0.313500	0.164800	0.145200	0.199300	0.204900
71337.1	0.334200	0.403700	0.251200	0.228000	0.224700	0.251600	0.279500	0.309100	0.166000	0.148800	0.203300	0.206700
76432.6	0.342100	0.409400	0.253700	0.229300	0.225800	0.252300	0.281700	0.312800	0.168100	0.152200	0.204000	0.208100
81528.1	0.340500	0.415300	0.265100	0.232800	0.229100	0.277200	0.542400	0.342800	0.170700	0.189800	0.230800	0.237800
86623.6	0.344500	0.431400	0.323700	0.235100	0.237300	0.275100	0.484900	0.395500	0.178400	0.252900	0.280800	0.300200
91719.1	0.346400	0.444800	0.388500	0.238500	0.248700	0.273700	0.429600	0.418200	0.174700	0.243500	0.272000	0.277900
96814.6	0.345600	0.450400	0.380200	0.238300	0.253700	0.272100	0.401800	0.412800	0.173100	0.240000	0.274000	0.269600
101910.1	0.344800	0.441600	0.352900	0.233800	0.253800	0.267700	0.376700	0.383800	0.174800	0.253900	0.295500	0.270700
107005.7	0.343900	0.443400	0.335300	0.233000	0.249200	0.267700	0.370300	0.383400	0.172200	0.242900	0.284400	0.253800
112101.2	0.345800	0.439700	0.323800	0.232500	0.247800	0.268300	0.363800	0.372100	0.174100	0.248000	0.291100	0.249000
117196.7	0.343700	0.433600	0.310300	0.229400	0.245700	0.265800	0.356200	0.353600	0.176700	0.260400	0.306700	0.250100
122292.2	0.341600	0.433500	0.301700	0.228800	0.241200	0.266000	0.353000	0.354600	0.173400	0.246200	0.288000	0.238400
127387.7	0.338700	0.424400	0.291700	0.224800	0.239000	0.262300	0.342400	0.337400	0.177000	0.266900	0.318800	0.242900
132483.2	0.338800	0.424600	0.288000	0.225200	0.236500	0.262900	0.338700	0.344600	0.173100	0.251300	0.297700	0.229100
137578.7	0.342400	0.427100	0.281400	0.223400	0.234700	0.260900	0.332200	0.339300	0.174400	0.261200	0.314500	0.230300
142674.2	0.340900	0.420800	0.275400	0.221800	0.232200	0.259600	0.326300	0.332400	0.175400	0.263300	0.321500	0.228200
147769.7	0.348200	0.425300	0.273000	0.222400	0.232500	0.259500	0.322700	0.331200	0.174800	0.266000	0.328800	0.223200
152865.2	0.337400	0.419600	0.268300	0.220600	0.230500	0.258300	0.318400	0.324600	0.174400	0.261600	0.320600	0.220500
157960.7	0.341200	0.420400	0.267000	0.221200	0.229800	0.259200	0.315300	0.324000	0.174900	0.263300	0.322500	0.218800
163056.2	0.337200	0.414700	0.261800	0.218200	0.228500	0.257200	0.308700	0.312400	0.178700	0.276100	0.343000	0.223200
168151.7	0.340100	0.422900	0.264400	0.222000	0.226500	0.260500	0.314200	0.330800	0.172800	0.258800	0.326400	0.211300
173247.2	0.342400	0.421500	0.260400	0.220500	0.225100	0.257700	0.306500	0.323700	0.173200	0.261800	0.337000	0.211500
178342.7	0.342400	0.419800	0.258800	0.220700	0.225700	0.258500	0.306700	0.319200	0.174200	0.264500	0.343400	0.211800
183438.3	0.340100	0.418700	0.256600	0.220000	0.225400	0.258000	0.302300	0.313900	0.175800	0.271100	0.354700	0.213200
188533.8	0.341600	0.415900	0.255500	0.218900	0.224200	0.256900	0.298300	0.309800	0.175900	0.274100	0.360500	0.213000
193629.3	0.339800	0.411700	0.250500	0.216700	0.223100	0.254100	0.294300	0.302500	0.175400	0.278500	0.368500	0.212000
198724.8	0.342700	0.413000	0.251800	0.218000	0.224500	0.256500	0.295700	0.300500	0.177500	0.275600	0.370800	0.211800
203820.3	0.344200	0.414700	0.248500	0.217300	0.222300	0.254400	0.293500	0.299600	0.175500	0.262400	0.371800	0.209900
208915.8	0.338700	0.413200	0.247500	0.218000	0.222400	0.255500	0.293500	0.300600	0.173600	0.242700	0.352000	0.205300
214011.3	0.340100	0.413500	0.246800	0.217400	0.222100	0.254800	0.290200	0.296000	0.175600	0.248000	0.368300	0.206600
219106.8	0.341600	0.418300	0.246700	0.218400	0.221500	0.255100	0.290500	0.300200	0.173300	0.237200	0.360500	0.202200
224202.3	0.342200	0.417300	0.246700	0.218000	0.220800	0.254100	0.287700	0.299800	0.173600	0.242600	0.385700	0.201800
229297.8	0.340600	0.417100	0.247100	0.218800	0.221800	0.255300	0.288800	0.299700	0.172800	0.235800	0.383400	0.199500
234393.3	0.339200	0.415800	0.243600	0.216700	0.220200	0.252400	0.283000	0.290600	0.174800	0.244200	0.415800	0.205200
239488.8	0.339300	0.419200	0.246500	0.219300	0.220200	0.255500	0.286100	0.300300	0.173200	0.232400	0.406600	0.197000
244584.3	0.337200	0.412400	0.242200	0.216200	0.220400	0.252000	0.280600	0.283500	0.175900	0.240500	0.433800	0.203900
249679.8	0.342800	0.413900	0.243100	0.217000	0.220700	0.252700	0.279600	0.287200	0.174900	0.236800	0.430600	0.202100
254775.3	0.344200	0.416200	0.242100	0.216800	0.218200	0.250200	0.278900	0.293700	0.171700	0.226700	0.422400	0.197600
