VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
157960.7	0.208800	0.142900	0.163600	0.241000	0.164100	0.204400	0.223900	0.113400	0.180300	0.190900	0.193300	0.117600	0.184800	0.178600	0.213600	0.166600	0.098000
163056.2	0.206600	0.140900	0.164600	0.243100	0.162200	0.203900	0.218000	0.111300	0.179700	0.192000	0.194400	0.114000	0.182700	0.175300	0.203700	0.162600	0.097600
168151.7	0.204100	0.140100	0.164000	0.242700	0.164600	0.205400	0.217600	0.111800	0.180700	0.193600	0.194000	0.113700	0.183700	0.172300	0.196500	0.161300	0.097600
173247.2	0.200200	0.139000	0.164100	0.244600	0.164400	0.207600	0.217900	0.106700	0.182900	0.195000	0.194800	0.110400	0.188500	0.173100	0.197100	0.161600	0.094900
178342.7	0.204000	0.144400	0.164000	0.236500	0.160100	0.202200	0.201400	0.118900	0.177400	0.190600	0.191700	0.118100	0.183300	0.171700	0.195800	0.161800	0.101100
183438.2	0.202200	0.140800	0.164200	0.238400	0.163000	0.201700	0.203700	0.112500	0.177800	0.192600	0.192700	0.113600	0.182300	0.169600	0.192300	0.159700	0.097100
188533.7	0.198700	0.139300	0.161600	0.232400	0.159200	0.199100	0.197800	0.112400	0.175700	0.190200	0.190700	0.114400	0.180600	0.167700	0.187500	0.158200	0.095300
193629.2	0.200300	0.142000	0.163200	0.234400	0.161300	0.200800	0.199100	0.113100	0.177100	0.191100	0.191900	0.113600	0.181700	0.169100	0.186500	0.159200	0.094400
198724.7	0.198800	0.140100	0.166400	0.236200	0.164500	0.201700	0.203100	0.114800	0.178500	0.192700	0.194300	0.115900	0.181200	0.168700	0.184500	0.158100	0.098200
203820.2	0.194100	0.137400	0.165000	0.241800	0.167100	0.208300	0.209200	0.104800	0.180400	0.195300	0.194400	0.109400	0.186400	0.169800	0.183800	0.158000	0.093900
208915.7	0.198800	0.142000	0.163900	0.232900	0.161900	0.202800	0.199300	0.116500	0.175800	0.191300	0.190000	0.117300	0.180700	0.168000	0.181400	0.157200	0.101600
214011.2	0.196700	0.138200	0.163200	0.235100	0.162700	0.206700	0.199900	0.109100	0.178000	0.194200	0.191000	0.112300	0.184300	0.168000	0.179300	0.157000	0.095500
219106.7	0.202300	0.143000	0.163300	0.231100	0.156800	0.204200	0.191300	0.119900	0.174500	0.194100	0.188700	0.117100	0.179600	0.166900	0.178500	0.156000	0.100600
224202.2	0.195000	0.138500	0.163200	0.236600	0.166100	0.208700	0.205000	0.110100	0.178300	0.195200	0.191800	0.110900	0.185500	0.167600	0.177600	0.156100	0.097100
229297.7	0.194600	0.138100	0.162300	0.234400	0.161600	0.205000	0.205900	0.107400	0.178300	0.195000	0.191100	0.109900	0.186500	0.167400	0.177100	0.156400	0.094400
234393.2	0.197900	0.140600	0.162500	0.230500	0.159900	0.200500	0.199300	0.111300	0.175300	0.191000	0.188200	0.112700	0.180600	0.166900	0.176700	0.156200	0.096400
239488.7	0.194300	0.136200	0.161500	0.233700	0.163400	0.205300	0.207200	0.107100	0.179200	0.194400	0.191000	0.108000	0.185200	0.167300	0.174600	0.155600	0.095000
244584.2	0.202100	0.145100	0.160900	0.225900	0.154500	0.198100	0.189300	0.121400	0.172100	0.187200	0.184800	0.119600	0.179000	0.166300	0.175400	0.155000	0.101800
249679.7	0.198400	0.141700	0.161800	0.229300	0.161400	0.201400	0.201000	0.115000	0.175700	0.190900	0.187500	0.113600	0.182000	0.166200	0.174100	0.154800	0.097600
254775.2	0.196900	0.139100	0.161900	0.232400	0.161900	0.201800	0.202200	0.109300	0.176200	0.192300	0.188800	0.110100	0.182800	0.165600	0.174800	0.156300	0.095500
259870.7	0.201100	0.144100	0.161200	0.224300	0.154700	0.194500	0.188700	0.122300	0.172000	0.187200	0.185200	0.119600	0.177600	0.164900	0.175300	0.156600	0.101700
264966.3	0.198900	0.142200	0.162500	0.229800	0.157100	0.200000	0.196700	0.116700	0.174300	0.190000	0.188300	0.113800	0.182400	0.164200	0.173900	0.155700	0.097200
270061.8	0.195100	0.137100	0.161900	0.232400	0.163600	0.202200	0.207100	0.104400	0.178300	0.194100	0.191700	0.106800	0.185400	0.164800	0.174100	0.155100	0.092000
275157.3	0.200500	0.139900	0.162800	0.229400	0.159600	0.199600	0.196800	0.112400	0.175700	0.190900	0.188300	0.111600	0.182200	0.164900	0.174000	0.155400	0.096600
280252.8	0.202500	0.145000	0.161600	0.223700	0.160000	0.194600	0.189500	0.122600	0.171300	0.186300	0.185500	0.119400	0.177300	0.163500	0.173900	0.154900	0.100100
285348.3	0.193700	0.135800	0.160200	0.233400	0.162200	0.200600	0.204800	0.109100	0.178000	0.193300	0.191000	0.107500	0.182900	0.163700	0.172100	0.154900	0.093300
290443.8	0.198900	0.140700	0.161400	0.226200	0.160600	0.199200	0.196500	0.114600	0.175100	0.190800	0.189000	0.113000	0.181600	0.164500	0.173500	0.156100	0.094400
295539.3	0.193800	0.135400	0.161200	0.237500	0.166700	0.207200	0.212800	0.101900	0.180300	0.197200	0.194200	0.104500	0.190200	0.165800	0.172700	0.156500	0.090000
300634.8	0.194600	0.135300	0.162100	0.235200	0.166700	0.208700	0.212300	0.104700	0.179600	0.196000	0.193700	0.105900	0.189800	0.166100	0.172800	0.155800	0.089600
