VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)
GraphNo	1	2	3	4	5	6	7
322256.4	0.237500	0.539300	0.661300	0.286400	0.192200	0.143200	0.197300
327214.2	0.239200	0.533700	0.664100	0.287300	0.195200	0.145200	0.198400
332172.0	0.240400	0.539300	0.665400	0.286200	0.198900	0.146800	0.199000
337129.8	0.243400	0.538700	0.679400	0.277200	0.193000	0.143900	0.197800
342087.6	0.243200	0.532800	0.663300	0.290300	0.206400	0.148000	0.196600
347045.4	0.248500	0.537100	0.682800	0.266400	0.196300	0.142500	0.194800
352003.1	0.249700	0.539200	0.682800	0.262200	0.196900	0.144500	0.195200
356960.9	0.248300	0.528700	0.666800	0.276300	0.208900	0.147800	0.194500
361918.7	0.249300	0.526100	0.670200	0.260800	0.204100	0.146400	0.195400
366876.5	0.250400	0.531700	0.674400	0.270300	0.208100	0.147900	0.193700
371834.3	0.246300	0.530600	0.674200	0.259700	0.201800	0.146500	0.193900
376792.1	0.243300	0.529400	0.670100	0.253100	0.201400	0.146400	0.193800
381749.9	0.241500	0.528100	0.668900	0.251300	0.200200	0.145700	0.194500
386707.7	0.245000	0.538400	0.680400	0.247300	0.198500	0.143000	0.192400
391665.5	0.243100	0.535600	0.685600	0.251900	0.197900	0.143500	0.191600
396623.3	0.238800	0.530500	0.681900	0.246600	0.196400	0.143200	0.191900
401581.0	0.236700	0.525500	0.682000	0.244700	0.192800	0.142000	0.191100
406538.8	0.232700	0.512500	0.664700	0.253700	0.198300	0.142900	0.190500
411496.6	0.236300	0.510700	0.675600	0.246100	0.193100	0.142600	0.190000
416454.4	0.236300	0.485400	0.651300	0.255000	0.189100	0.136700	0.186900
421412.2	0.226200	0.449500	0.626500	0.270300	0.183700	0.132000	0.184000
426370.0	0.215000	0.416500	0.603300	0.265000	0.170200	0.125600	0.180300
431327.8	0.208400	0.393700	0.597900	0.264500	0.158500	0.120700	0.177500
436285.6	0.200000	0.365200	0.575400	0.268200	0.150500	0.118600	0.175900
441243.4	0.194800	0.348000	0.576000	0.272200	0.143300	0.116100	0.173800
446201.2	0.186400	0.323800	0.549200	0.280000	0.140500	0.117300	0.172600
451158.9	0.185100	0.313900	0.555200	0.282200	0.135400	0.115500	0.170100
456116.7	0.182400	0.301000	0.545400	0.283300	0.130400	0.115000	0.168600
461074.5	0.181100	0.290400	0.544500	0.271400	0.122400	0.112400	0.167700
466032.3	0.179400	0.281000	0.539600	0.276600	0.121600	0.112000	0.167900
470990.1	0.178000	0.273700	0.536300	0.274400	0.119700	0.111500	0.166800
475947.9	0.176000	0.264300	0.532700	0.267400	0.113700	0.110000	0.166800
480905.7	0.172800	0.256600	0.521200	0.287800	0.116900	0.112300	0.165800
485863.5	0.175800	0.258800	0.534000	0.260200	0.107100	0.109000	0.166600
490821.3	0.173800	0.247700	0.513900	0.295000	0.118100	0.113300	0.166300
495779.1	0.173400	0.244500	0.518600	0.268900	0.106900	0.109300	0.165600
500736.8	0.174400	0.243700	0.520400	0.267200	0.105200	0.108300	0.165100
505694.6	0.169900	0.232700	0.496600	0.287600	0.110800	0.112300	0.166700
510652.4	0.172800	0.234300	0.505700	0.271000	0.103000	0.107900	0.165900
515610.2	0.172300	0.231800	0.503400	0.287900	0.109600	0.111600	0.165200
520568.0	0.173000	0.230000	0.503300	0.272200	0.103700	0.109200	0.164400
525525.8	0.172800	0.229900	0.506400	0.256900	0.098200	0.106800	0.165700
530483.6	0.172800	0.224800	0.493900	0.274600	0.103900	0.112200	0.166200
535441.4	0.173600	0.222000	0.488400	0.269500	0.104500	0.111000	0.165700
540399.2	0.172100	0.220900	0.482200	0.279400	0.105200	0.113000	0.166800
545357.0	0.174800	0.223600	0.489400	0.259600	0.099000	0.110200	0.165900
550314.7	0.174200	0.219600	0.483100	0.261400	0.098300	0.109000	0.165700
555272.5	0.173900	0.217400	0.474000	0.256500	0.097800	0.109400	0.164700
560230.3	0.173500	0.216100	0.470500	0.271500	0.101000	0.111200	0.165400
565188.1	0.176600	0.220600	0.477600	0.252700	0.094900	0.108600	0.165800
570145.9	0.175100	0.217100	0.475700	0.244100	0.092200	0.106500	0.165300
575103.7	0.173100	0.214100	0.467700	0.262100	0.098400	0.109100	0.164100
580061.5	0.175400	0.214600	0.468800	0.263100	0.098700	0.109600	0.164900
585019.3	0.173200	0.212200	0.465200	0.270800	0.101500	0.112200	0.165100
589977.1	0.172600	0.212400	0.461700	0.273200	0.101200	0.112400	0.165200
594934.9	0.177500	0.214600	0.471000	0.256500	0.096800	0.109200	0.164900
599892.6	0.176400	0.217500	0.475800	0.269700	0.101500	0.111300	0.164800
604850.4	0.177100	0.213600	0.472500	0.270800	0.102700	0.112700	0.163800
609808.2	0.178900	0.215900	0.491800	0.250700	0.104100	0.112900	0.162300
614766.0	0.191700	0.229800	0.556000	0.260700	0.116700	0.124200	0.169800
619723.8	0.204400	0.245200	0.605600	0.255900	0.127900	0.129600	0.172900
624681.6	0.217400	0.262200	0.649000	0.258800	0.139200	0.135700	0.175700
629639.4	0.228900	0.274900	0.660200	0.277300	0.155000	0.141800	0.176800
634597.2	0.243300	0.295300	0.691600	0.263100	0.155500	0.142100	0.177400
639555.0	0.249400	0.303200	0.678900	0.263100	0.164100	0.146300	0.179500
644512.8	0.257800	0.315800	0.688900	0.262600	0.167100	0.146900	0.181200
649470.5	0.261700	0.323200	0.676700	0.276400	0.177100	0.152100	0.184100
654428.3	0.272600	0.337500	0.697300	0.259200	0.172300	0.148600	0.184500
659386.1	0.276800	0.343500	0.694100	0.265300	0.179500	0.150600	0.186300
664343.9	0.282300	0.351100	0.693900	0.265900	0.181300	0.152500	0.188500
669301.7	0.282300	0.355000	0.678700	0.276100	0.191000	0.155800	0.188300
674259.5	0.292500	0.375800	0.700300	0.264200	0.182900	0.151300	0.188200
679217.3	0.290700	0.380500	0.697700	0.259700	0.187100	0.153100	0.189300
684175.1	0.297800	0.395800	0.711200	0.267000	0.191800	0.154000	0.189100
689132.9	0.297000	0.403700	0.704100	0.259700	0.189400	0.155400	0.192000
694090.7	0.308900	0.428200	0.743000	0.243100	0.180100	0.150700	0.192100
699048.5	0.304700	0.429600	0.717000	0.268100	0.194600	0.157000	0.192100
704006.2	0.308200	0.450100	0.727200	0.268300	0.194600	0.156400	0.195100
708964.0	0.304200	0.451100	0.724000	0.269400	0.196700	0.155200	0.193700
713921.8	0.304700	0.464800	0.737100	0.257200	0.188700	0.152100	0.194000
718879.6	0.301500	0.470500	0.728200	0.268200	0.196400	0.155000	0.195300
723837.4	0.302500	0.481800	0.731400	0.270800	0.196000	0.155500	0.196200
728795.2	0.298000	0.483700	0.721400	0.276200	0.199200	0.156000	0.196100
733753.0	0.301000	0.498000	0.735200	0.280000	0.200400	0.155600	0.196000
738710.8	0.303900	0.511100	0.743700	0.261600	0.191400	0.153400	0.196200
743668.6	0.305600	0.520500	0.748900	0.247100	0.184700	0.150900	0.196400
748626.4	0.295800	0.505800	0.706500	0.293600	0.213900	0.162900	0.195600
753584.1	0.302500	0.526500	0.737700	0.260000	0.194200	0.154300	0.197300
758541.9	0.297800	0.518900	0.712600	0.269300	0.204000	0.156300	0.197800
763499.7	0.299100	0.531600	0.721200	0.261600	0.200100	0.154200	0.196300
768457.5	0.299900	0.536800	0.719800	0.272400	0.203400	0.156900	0.196900
773415.3	0.297800	0.539100	0.723000	0.255900	0.198400	0.152800	0.197500
778373.1	0.297900	0.548200	0.725800	0.254700	0.197500	0.153300	0.197800
783330.9	0.290900	0.539600	0.701100	0.282700	0.215300	0.160000	0.197800
788288.7	0.291400	0.553700	0.713300	0.273100	0.213300	0.157900	0.197000
793246.5	0.288900	0.551900	0.711100	0.268700	0.209400	0.158400	0.197900
798204.3	0.286000	0.560700	0.710300	0.263300	0.208200	0.156500	0.198900
803162.0	0.285400	0.554400	0.715100	0.266300	0.209700	0.156800	0.197600
808119.8	0.288200	0.573800	0.735900	0.264600	0.207700	0.155500	0.198600
813077.7	0.290000	0.569300	0.727300	0.267800	0.212400	0.156900	0.201900
818035.4	0.288000	0.566200	0.718500	0.298600	0.228400	0.162500	0.200900
822993.2	0.295200	0.576200	0.729400	0.272900	0.215500	0.158100	0.201300
827951.0	0.299300	0.585100	0.733100	0.278100	0.221600	0.158000	0.199800
832908.8	0.295200	0.582600	0.736000	0.261000	0.211800	0.154900	0.198100
837866.6	0.293500	0.588400	0.742300	0.266700	0.213300	0.155000	0.197500
842824.4	0.287900	0.591500	0.746000	0.261800	0.211400	0.152600	0.196300
847782.2	0.287000	0.590200	0.742200	0.275500	0.222700	0.156100	0.195700
852739.9	0.285200	0.592500	0.746000	0.279000	0.222500	0.156100	0.194600
857697.7	0.280000	0.591300	0.739800	0.282900	0.225400	0.156200	0.194700
862655.5	0.283100	0.606000	0.764900	0.271500	0.216300	0.153300	0.193400
867613.3	0.278700	0.593400	0.752900	0.286100	0.220400	0.155100	0.193700
872571.1	0.275000	0.597500	0.752600	0.274800	0.215800	0.153200	0.193800
877528.9	0.272800	0.595300	0.757600	0.275000	0.217500	0.152600	0.192900
882486.7	0.269600	0.593700	0.756800	0.268900	0.215900	0.151000	0.192700
887444.5	0.266800	0.588300	0.750100	0.260800	0.211300	0.148200	0.192300
892402.3	0.265500	0.585500	0.741400	0.277900	0.220400	0.152500	0.191000
897360.1	0.259500	0.573200	0.718000	0.302000	0.234400	0.158200	0.191900
902317.8	0.260900	0.580800	0.738800	0.257800	0.212300	0.146500	0.190300
907275.6	0.257800	0.580700	0.737500	0.271400	0.217700	0.149800	0.190000
912233.4	0.254300	0.572900	0.727900	0.266600	0.216800	0.149100	0.191400
917191.2	0.251400	0.569000	0.735000	0.274700	0.222100	0.148900	0.189900
922149.0	0.246700	0.570900	0.729900	0.264200	0.217700	0.149000	0.189100
927106.8	0.243100	0.574400	0.738600	0.279700	0.226000	0.151100	0.188700
932064.6	0.240200	0.579500	0.754200	0.267700	0.220300	0.149400	0.189300
937022.4	0.237400	0.575700	0.752100	0.275100	0.224900	0.150900	0.187900
941980.2	0.236700	0.578000	0.755500	0.274700	0.222700	0.151500	0.188000
946938.0	0.235700	0.586200	0.765100	0.254000	0.212000	0.147400	0.186100
951895.7	0.234600	0.581300	0.761100	0.266100	0.218100	0.148600	0.185900
956853.5	0.237300	0.591200	0.792500	0.244100	0.206400	0.142500	0.185400
961811.3	0.231700	0.577200	0.767800	0.271800	0.221700	0.149500	0.185100
966769.1	0.230800	0.576100	0.766300	0.249000	0.210300	0.144900	0.183900
971726.9	0.231100	0.578900	0.767600	0.248800	0.211500	0.144500	0.184700
976684.7	0.231600	0.583700	0.772200	0.249600	0.208600	0.143900	0.184200
981642.5	0.227800	0.577600	0.760700	0.250200	0.211200	0.145400	0.185000
986600.3	0.232600	0.576200	0.747900	0.234300	0.200100	0.147800	0.183400
991558.1	0.229500	0.556800	0.703100	0.257200	0.207900	0.141800	0.185300
996515.9	0.223600	0.537200	0.666000	0.251300	0.198600	0.136800	0.185100
1001473.6	0.218100	0.522500	0.641800	0.248700	0.189600	0.132500	0.184400
1006431.4	0.214700	0.519000	0.640400	0.238000	0.173700	0.126400	0.182900
1011389.2	0.210300	0.513000	0.629200	0.231300	0.163800	0.121800	0.181600
1016347.0	0.202100	0.499500	0.610000	0.244900	0.164400	0.122000	0.179200
1021304.8	0.196900	0.489600	0.596200	0.252400	0.162000	0.121200	0.178600
1026262.6	0.196100	0.495600	0.608900	0.244700	0.151500	0.118500	0.176500
1031220.4	0.193300	0.492800	0.599600	0.234200	0.141700	0.115400	0.176200
1036178.2	0.193200	0.488500	0.597400	0.237000	0.136500	0.114400	0.174200
1041136.0	0.187400	0.480900	0.581000	0.255900	0.142400	0.117900	0.173400
1046093.8	0.189500	0.498300	0.608400	0.256200	0.136100	0.115900	0.174900
1051051.5	0.186700	0.490000	0.600600	0.272000	0.141300	0.119600	0.169500
1056009.3	0.183700	0.486800	0.604000	0.273700	0.137900	0.117600	0.172900
1060967.1	0.181100	0.484000	0.601000	0.263800	0.130800	0.116500	0.170900
1065924.9	0.183400	0.484200	0.613700	0.260100	0.126500	0.114700	0.169100
1070882.7	0.182600	0.478700	0.617700	0.254500	0.126100	0.115200	0.167800
1075840.5	0.182000	0.468900	0.613800	0.254200	0.125700	0.115200	0.166000
1080798.3	0.182200	0.466500	0.615100	0.250200	0.122000	0.115100	0.165700
