VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)	ROI(1-21)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
123944.8	0.305500	0.400200	0.346800	0.369100	0.328600	0.310600	0.341500	0.407500	0.241600	0.185500	0.364300	0.318300	0.306200	0.179500	0.298000	0.331700	0.097500	0.190000	0.378500	0.337600	0.386900
129109.2	0.306100	0.400300	0.348400	0.369900	0.337500	0.309200	0.337600	0.405300	0.260600	0.200000	0.356700	0.317400	0.311300	0.193100	0.295000	0.326700	0.100400	0.199800	0.369400	0.321700	0.385200
134273.5	0.303700	0.399500	0.344400	0.367300	0.332000	0.310000	0.340100	0.403800	0.264700	0.195600	0.358600	0.317100	0.310500	0.191000	0.294100	0.325600	0.101500	0.199500	0.374600	0.322200	0.383400
139437.9	0.311600	0.403400	0.347600	0.366900	0.339900	0.310100	0.342400	0.401000	0.275800	0.205200	0.356500	0.315800	0.314500	0.201500	0.291600	0.326800	0.103000	0.206800	0.370800	0.313000	0.376100
144602.3	0.302600	0.398600	0.339100	0.364400	0.334400	0.314200	0.350000	0.393500	0.262500	0.188900	0.363400	0.318400	0.313300	0.190100	0.292300	0.328800	0.099500	0.197000	0.373000	0.306700	0.379700
149766.6	0.314600	0.411800	0.344800	0.364300	0.340100	0.311300	0.350300	0.392800	0.259800	0.192900	0.357900	0.314200	0.311700	0.193900	0.287500	0.332700	0.099800	0.198900	0.377000	0.304100	0.367800
154931.0	0.312400	0.409500	0.344600	0.369400	0.340600	0.315500	0.352500	0.379700	0.267300	0.191600	0.361100	0.316100	0.315600	0.196100	0.287200	0.327900	0.099300	0.197300	0.370700	0.287500	0.367800
160095.4	0.316100	0.410700	0.344400	0.369500	0.340800	0.314700	0.355500	0.375800	0.273100	0.201900	0.363300	0.318800	0.317700	0.204000	0.287100	0.328300	0.101900	0.204900	0.372900	0.282600	0.367300
165259.7	0.316400	0.410500	0.341600	0.363800	0.333800	0.315500	0.359900	0.373800	0.264500	0.191800	0.369600	0.318900	0.313500	0.193900	0.285900	0.334600	0.099400	0.196800	0.380900	0.287700	0.368800
170424.1	0.318500	0.412700	0.341500	0.366400	0.344200	0.315700	0.360100	0.363700	0.269400	0.197900	0.365000	0.317300	0.314800	0.204900	0.284000	0.330400	0.100100	0.201700	0.375200	0.279300	0.362100
175588.5	0.319900	0.418200	0.339300	0.367000	0.342300	0.325000	0.370700	0.358300	0.266000	0.195400	0.371000	0.322800	0.321800	0.203000	0.286400	0.333800	0.100700	0.199800	0.382500	0.283200	0.366700
180752.8	0.319400	0.418700	0.335600	0.364600	0.345600	0.324200	0.368500	0.349800	0.279800	0.206400	0.363700	0.320900	0.325200	0.210900	0.283500	0.330000	0.101600	0.207700	0.372700	0.272700	0.362900
