VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)
GraphNo	1	2	3	4
635216.9	0.201300	0.118900	0.093500	0.178400
640381.3	0.209800	0.130200	0.100400	0.179500
645545.6	0.214200	0.138600	0.105700	0.178500
650710.0	0.222800	0.145700	0.104600	0.181500
655874.4	0.240800	0.143700	0.096100	0.181300
661038.7	0.246200	0.148000	0.093200	0.183900
666203.1	0.256900	0.155900	0.096900	0.185400
671367.5	0.265800	0.156000	0.090500	0.187400
676531.8	0.270600	0.167400	0.096900	0.188700
681696.2	0.277900	0.166900	0.093900	0.190000
686860.6	0.281800	0.166600	0.094400	0.191500
692024.9	0.284800	0.163200	0.092200	0.192300
697189.3	0.275500	0.162200	0.090600	0.190700
702353.7	0.279000	0.158900	0.090400	0.192300
707518.0	0.266600	0.160900	0.095700	0.191000
712682.4	0.262100	0.155500	0.092500	0.190300
717846.8	0.259200	0.157300	0.097100	0.189800
723011.1	0.258200	0.140900	0.083000	0.190900
728175.5	0.239500	0.154700	0.100300	0.188800
733339.8	0.251900	0.141400	0.089100	0.191900
738504.2	0.249600	0.137700	0.087700	0.193500
743668.6	0.248900	0.140900	0.091700	0.194800
748832.9	0.233600	0.147100	0.100700	0.192800
753997.3	0.233300	0.142700	0.097200	0.193800
759161.7	0.237400	0.135800	0.091600	0.194700
764326.0	0.229100	0.139800	0.098900	0.193000
769490.4	0.235200	0.130500	0.090200	0.194600
774654.8	0.225400	0.139200	0.102500	0.193200
779819.1	0.228400	0.132800	0.095700	0.194500
784983.5	0.217500	0.135300	0.101000	0.194200
790147.9	0.224400	0.126700	0.092300	0.195900
795312.2	0.223700	0.128300	0.093200	0.196500
800476.6	0.212200	0.136000	0.101600	0.195300
805641.0	0.220100	0.129800	0.095600	0.198100
810805.3	0.213300	0.135100	0.098000	0.197800
815969.7	0.218100	0.134100	0.099500	0.198900
821134.1	0.208100	0.138500	0.103000	0.197400
826298.4	0.211500	0.130800	0.094900	0.199500
831462.8	0.202100	0.142200	0.110200	0.197600
836627.1	0.200800	0.143800	0.111500	0.199900
841791.5	0.213700	0.125600	0.089600	0.200600
846955.9	0.203900	0.136100	0.100400	0.200700
852120.2	0.201100	0.137900	0.105300	0.201400
857284.6	0.207100	0.132600	0.098300	0.203100
862449.0	0.208500	0.128500	0.094100	0.203600
867613.3	0.207800	0.129500	0.096900	0.203600
872777.7	0.207400	0.129300	0.095400	0.203800
877942.1	0.207000	0.126900	0.092400	0.202900
883106.4	0.201500	0.134600	0.100900	0.203600
888270.8	0.210500	0.125900	0.089300	0.207600
893435.2	0.200300	0.138000	0.104900	0.204200
898599.5	0.200100	0.134100	0.098100	0.207200
903763.9	0.207100	0.127100	0.089900	0.209400
908928.3	0.203800	0.127700	0.092600	0.208600
914092.6	0.207300	0.126300	0.091300	0.209900
919257.0	0.201300	0.131400	0.097300	0.209000
924421.3	0.199900	0.128000	0.091500	0.208400
929585.7	0.198000	0.131000	0.095000	0.208000
934750.1	0.198300	0.134100	0.100300	0.208500
939914.4	0.199300	0.132400	0.099400	0.208600
945078.8	0.196600	0.132900	0.100100	0.207300
950243.2	0.197800	0.131500	0.099000	0.207700
955407.5	0.195100	0.134200	0.099800	0.208700
960571.9	0.196400	0.129700	0.096700	0.208500
965736.3	0.207200	0.122200	0.087500	0.212200
970900.6	0.200900	0.125000	0.091700	0.209700
976065.0	0.197400	0.128200	0.095600	0.207900
981229.4	0.197600	0.132200	0.101800	0.209400
986393.7	0.199000	0.133500	0.103700	0.209100
991558.1	0.192700	0.139400	0.110700	0.207700
996722.5	0.201700	0.128500	0.096200	0.208400
1001886.8	0.202900	0.127100	0.094200	0.208000
1007051.2	0.194000	0.137200	0.109000	0.204900
1012215.5	0.196900	0.129200	0.098700	0.203300
1017379.9	0.208400	0.122400	0.093400	0.204200
1022544.3	0.198300	0.129200	0.104100	0.201300
