VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
0.0	0.300200	0.246200	0.305000	0.274100	0.152000	0.069000	0.086400	0.150800	0.211500
5164.4	0.297600	0.239800	0.296700	0.265300	0.155700	0.071800	0.089600	0.156000	0.213300
10328.7	0.300200	0.234600	0.297200	0.266800	0.156800	0.071700	0.089300	0.157400	0.216300
15493.1	0.299500	0.235200	0.295800	0.268200	0.155800	0.068600	0.086700	0.154500	0.215200
20657.5	0.298200	0.238600	0.300100	0.280700	0.146100	0.065200	0.075300	0.143800	0.204500
25821.8	0.316800	0.236100	0.299900	0.272300	0.155400	0.063200	0.073900	0.147900	0.226800
30986.2	0.308400	0.234700	0.293400	0.269100	0.156200	0.071300	0.087200	0.156400	0.214800
36150.5	0.321300	0.236800	0.297700	0.275400	0.156200	0.068700	0.085900	0.153300	0.216400
41314.9	0.313600	0.231100	0.287600	0.264800	0.156100	0.068000	0.085900	0.151400	0.214700
46479.3	0.317800	0.229500	0.284900	0.264900	0.159700	0.070300	0.088100	0.154300	0.215700
51643.6	0.318900	0.232700	0.293000	0.272000	0.155000	0.065200	0.083500	0.144400	0.213700
56808.0	0.316500	0.225500	0.283700	0.262900	0.157100	0.069600	0.086700	0.148200	0.214000
61972.4	0.321300	0.229400	0.288000	0.271700	0.154800	0.065500	0.083900	0.142100	0.211000
67136.7	0.327900	0.228000	0.283200	0.269000	0.158300	0.066500	0.084700	0.144100	0.215400
72301.1	0.316800	0.228000	0.281400	0.272600	0.149900	0.065700	0.076500	0.135800	0.204600
77465.5	0.347200	0.235100	0.289700	0.273400	0.159700	0.056600	0.072300	0.134000	0.234100
82629.8	0.345200	0.229100	0.283100	0.269000	0.158200	0.061200	0.075500	0.136100	0.227600
87794.2	0.334000	0.226800	0.277700	0.266700	0.158700	0.065300	0.085100	0.139600	0.214100
92958.6	0.336500	0.226800	0.279000	0.269200	0.157900	0.069300	0.087100	0.140300	0.212700
98122.9	0.336600	0.223700	0.276500	0.266300	0.158100	0.069900	0.088300	0.140300	0.211500
103287.3	0.342100	0.221600	0.278200	0.264800	0.167400	0.067300	0.087300	0.143600	0.227900
108451.6	0.339500	0.221500	0.276400	0.264800	0.163500	0.070800	0.089500	0.143400	0.217300
113616.0	0.340100	0.220500	0.277600	0.268200	0.159000	0.071200	0.089300	0.139100	0.214400
118780.4	0.329600	0.222500	0.278600	0.275600	0.148400	0.063100	0.075000	0.126000	0.204000
123944.7	0.348600	0.239200	0.294900	0.288100	0.153900	0.050400	0.063400	0.117500	0.236200
129109.1	0.317500	0.219000	0.265800	0.263300	0.157700	0.067200	0.085600	0.133200	0.212900
134273.5	0.310100	0.217500	0.260900	0.262600	0.157400	0.065600	0.086300	0.132700	0.211900
139437.8	0.301000	0.216000	0.255500	0.258400	0.159900	0.068800	0.087700	0.134300	0.216300
144602.2	0.291400	0.220300	0.256700	0.263200	0.154500	0.063500	0.083300	0.127300	0.211300
149766.6	0.282000	0.217400	0.251700	0.260500	0.152200	0.064100	0.082800	0.126200	0.206400
154930.9	0.274400	0.213500	0.243800	0.250900	0.159100	0.068900	0.088300	0.133500	0.212900
160095.3	0.277100	0.216000	0.245900	0.253600	0.164200	0.066300	0.086100	0.133600	0.226800
