VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
340848.0	0.194900	0.263900	0.172000	0.335800	0.208700	0.225800	0.212200	0.134000
346012.4	0.183800	0.256700	0.165300	0.337300	0.207200	0.228700	0.201700	0.122100
351176.7	0.194300	0.262200	0.169300	0.328800	0.207700	0.225800	0.212600	0.131700
356341.1	0.186100	0.255100	0.166400	0.326700	0.203000	0.222000	0.206300	0.129200
361505.5	0.186100	0.255800	0.164400	0.328900	0.205300	0.225100	0.204900	0.127300
366669.8	0.192400	0.258100	0.168600	0.322300	0.204100	0.219400	0.211600	0.133700
371834.2	0.193900	0.257500	0.169900	0.312500	0.199600	0.212900	0.216700	0.136100
376998.5	0.181500	0.252900	0.164400	0.325300	0.203600	0.224000	0.207800	0.122500
382162.9	0.188400	0.254800	0.165100	0.316700	0.200900	0.217100	0.214600	0.126300
387327.3	0.182500	0.251000	0.162900	0.315500	0.199200	0.215900	0.210600	0.122900
392491.6	0.186500	0.253700	0.164000	0.310800	0.200600	0.217400	0.217100	0.126900
397656.0	0.187800	0.252100	0.164800	0.304600	0.197600	0.212600	0.218900	0.132100
402820.4	0.182200	0.248100	0.161900	0.303200	0.195100	0.211200	0.216000	0.123500
407984.7	0.187900	0.252900	0.162300	0.311200	0.199100	0.216500	0.221300	0.126700
413149.1	0.185400	0.251800	0.162500	0.304100	0.196200	0.211100	0.221500	0.128400
418313.4	0.186300	0.250800	0.164300	0.300600	0.194300	0.209600	0.224800	0.133000
423477.8	0.199600	0.260600	0.170200	0.301600	0.199000	0.211500	0.236600	0.134300
428642.2	0.178800	0.248700	0.157600	0.304500	0.194500	0.214400	0.219100	0.117500
433806.5	0.185100	0.250800	0.161500	0.297900	0.193000	0.208600	0.227200	0.130000
438970.9	0.189600	0.253700	0.163100	0.297200	0.194800	0.209100	0.231100	0.126200
444135.3	0.195200	0.255900	0.166400	0.291100	0.193400	0.205400	0.238000	0.130400
449299.6	0.185400	0.250700	0.160700	0.303100	0.195900	0.210600	0.227800	0.123000
454464.0	0.203100	0.261100	0.170800	0.293200	0.195800	0.209400	0.246400	0.132700
459628.3	0.185900	0.249400	0.160900	0.294000	0.192800	0.207700	0.232100	0.126600
464792.7	0.190800	0.252000	0.163400	0.295400	0.193100	0.207900	0.238300	0.129200
469957.1	0.205200	0.259200	0.172400	0.284400	0.193100	0.202600	0.254400	0.142900
475121.4	0.177500	0.244800	0.154600	0.299200	0.193200	0.211800	0.226900	0.118700
480285.8	0.201800	0.257400	0.168700	0.282700	0.192400	0.203000	0.251900	0.134600
485450.2	0.193000	0.253000	0.164700	0.289700	0.194500	0.207500	0.242700	0.125400
490614.5	0.191900	0.250700	0.163800	0.290700	0.192500	0.206200	0.244300	0.129200
495778.9	0.178800	0.242000	0.156500	0.288800	0.189600	0.205300	0.231500	0.120400
500943.2	0.185400	0.246400	0.161100	0.286300	0.189800	0.204000	0.240300	0.127500
506107.6	0.248400	0.285000	0.186700	0.284200	0.206500	0.205000	0.289400	0.132800
511272.0	0.192900	0.249900	0.163400	0.285200	0.192100	0.203600	0.248200	0.126200
516436.3	0.190700	0.247900	0.162300	0.284100	0.191300	0.204000	0.247000	0.126100
521600.7	0.186200	0.245000	0.159300	0.284900	0.190300	0.205000	0.245100	0.123700
526765.1	0.185000	0.243700	0.158600	0.286900	0.191000	0.203800	0.244600	0.121400
531929.4	0.190200	0.246400	0.160200	0.284800	0.191000	0.205300	0.251200	0.125900
537093.8	0.186900	0.241600	0.160000	0.278700	0.188500	0.201300	0.249900	0.128900
542258.1	0.188200	0.243900	0.161600	0.280700	0.190100	0.201200	0.251900	0.123900
547422.5	0.182200	0.240800	0.157000	0.280300	0.188400	0.202300	0.245400	0.118500
552586.9	0.186700	0.241500	0.158900	0.282000	0.188900	0.202500	0.251600	0.120000
557751.2	0.190700	0.244000	0.160200	0.282000	0.190900	0.201600	0.256600	0.121700
562915.6	0.186100	0.240300	0.157900	0.277200	0.188700	0.199900	0.252200	0.118600
568079.9	0.201300	0.248500	0.166800	0.275200	0.190800	0.200100	0.269300	0.128300
573244.3	0.199500	0.246300	0.163600	0.272200	0.189500	0.198600	0.267700	0.126700
578408.7	0.185300	0.238000	0.157600	0.275000	0.187800	0.200100	0.254500	0.122900
583573.0	0.190800	0.240100	0.159500	0.270800	0.187400	0.195200	0.262100	0.130600
588737.4	0.188200	0.238300	0.158400	0.271900	0.186600	0.196600	0.259000	0.123700
