VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)
GraphNo	1	2	3	4
552587.0	0.179100	0.174800	0.244000	0.191800
557751.4	0.182200	0.174300	0.243800	0.193100
562915.7	0.176800	0.173700	0.244900	0.189700
568080.1	0.181200	0.174500	0.244400	0.193500
573244.5	0.182500	0.174500	0.243500	0.194700
578408.8	0.183100	0.174100	0.243100	0.193600
583573.2	0.181000	0.173500	0.242400	0.192700
588737.6	0.182200	0.171300	0.239900	0.192400
593901.9	0.178800	0.171100	0.240900	0.190300
599066.3	0.179200	0.173000	0.241200	0.191500
604230.6	0.179300	0.173200	0.240500	0.190100
609395.0	0.182200	0.172300	0.241400	0.192800
614559.4	0.179600	0.173000	0.241000	0.189600
619723.7	0.181100	0.172600	0.240300	0.184700
624888.1	0.187900	0.173000	0.236800	0.192100
630052.5	0.182800	0.173200	0.239100	0.189100
635216.8	0.187200	0.172400	0.236600	0.191100
640381.2	0.186900	0.172400	0.236600	0.189900
645545.6	0.186000	0.173400	0.237000	0.188400
650709.9	0.193900	0.173200	0.237200	0.189900
655874.3	0.180800	0.172200	0.238700	0.182000
661038.7	0.188800	0.173700	0.239300	0.185200
666203.0	0.189000	0.173400	0.236900	0.183300
671367.4	0.185600	0.172700	0.239300	0.183000
676531.7	0.184900	0.172500	0.238600	0.180300
681696.1	0.187100	0.172500	0.240800	0.179900
686860.5	0.182800	0.172300	0.240000	0.177200
692024.8	0.184500	0.172800	0.238600	0.179300
697189.2	0.185700	0.172700	0.238600	0.178800
702353.5	0.183800	0.172500	0.240300	0.178300
707517.9	0.184700	0.172600	0.240100	0.177800
712682.3	0.185600	0.172500	0.239700	0.177900
717846.6	0.185100	0.171200	0.237200	0.177300
723011.0	0.183900	0.171500	0.239600	0.177900
728175.4	0.188600	0.173400	0.239300	0.179500
733339.7	0.188700	0.171900	0.243700	0.179000
738504.1	0.184200	0.173600	0.247000	0.177800
743668.5	0.182000	0.172800	0.247000	0.174800
748832.8	0.187100	0.172900	0.246900	0.177600
753997.2	0.184800	0.171800	0.246200	0.174900
759161.5	0.178000	0.172700	0.248100	0.173800
764325.9	0.182800	0.172000	0.245700	0.175900
769490.3	0.189000	0.172500	0.244100	0.179100
774654.6	0.182900	0.172300	0.245600	0.175900
779819.0	0.181000	0.171500	0.242800	0.174800
784983.4	0.186900	0.171100	0.241500	0.178600
790147.7	0.180700	0.170000	0.241600	0.178100
795312.1	0.177000	0.168600	0.240500	0.175100
800476.4	0.182200	0.168200	0.239300	0.177800
805640.8	0.183800	0.170300	0.237200	0.181100
810805.2	0.178400	0.170000	0.238500	0.180200
815969.5	0.183000	0.170100	0.239100	0.183100
821133.9	0.184900	0.168900	0.236300	0.183000
826298.3	0.186100	0.170400	0.239200	0.182300
831462.6	0.190200	0.170400	0.238000	0.184400
836627.0	0.180300	0.169800	0.239600	0.178200
841791.4	0.182900	0.169000	0.238300	0.179300
846955.7	0.185900	0.171200	0.239700	0.181600
852120.1	0.184700	0.169400	0.238200	0.180600
857284.4	0.183800	0.170100	0.236900	0.180000
862448.8	0.183200	0.169600	0.236600	0.177000
867613.2	0.178300	0.170500	0.236900	0.176100
872777.5	0.186800	0.170500	0.237700	0.180400
877941.9	0.185800	0.171900	0.238200	0.179900
883106.3	0.181800	0.172500	0.239600	0.177400
888270.6	0.189600	0.171800	0.239000	0.178700
893435.0	0.186100	0.171800	0.239500	0.176800
898599.3	0.185800	0.171400	0.240000	0.177200
903763.7	0.187400	0.171400	0.239200	0.176600
908928.1	0.185800	0.171500	0.237900	0.176100
