VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)
GraphNo	1	2	3	4	5	6	7	8
0.0	0.183300	0.165000	0.141400	0.153500	0.200500	0.193800	0.173200	0.173800
4957.8	0.191000	0.166800	0.142600	0.153800	0.202100	0.195200	0.173000	0.173900
9915.6	0.201700	0.170100	0.143600	0.152600	0.199700	0.191700	0.171200	0.173600
14873.4	0.215700	0.172100	0.145400	0.152700	0.198700	0.190100	0.170700	0.173000
19831.2	0.218500	0.171100	0.144500	0.153900	0.203800	0.195500	0.174400	0.173000
24789.0	0.216800	0.172800	0.145400	0.152900	0.197700	0.189700	0.170400	0.172400
29746.7	0.211300	0.171300	0.147200	0.151900	0.192800	0.183900	0.167000	0.174500
34704.5	0.197900	0.167700	0.143500	0.152500	0.196700	0.189300	0.170800	0.171000
39662.3	0.192300	0.166800	0.144300	0.152600	0.195400	0.188200	0.170900	0.170700
44620.1	0.189200	0.166900	0.146400	0.152400	0.195000	0.187300	0.169200	0.171000
49577.9	0.181700	0.164400	0.143500	0.152800	0.195300	0.188700	0.171100	0.170100
54535.7	0.180200	0.163400	0.144200	0.153800	0.195200	0.189100	0.170200	0.170500
59493.5	0.177300	0.164500	0.143600	0.153500	0.194400	0.188200	0.170700	0.170400
64451.3	0.175600	0.163500	0.143400	0.151500	0.190000	0.184800	0.168600	0.170400
69409.1	0.172600	0.161600	0.144100	0.152300	0.190400	0.185400	0.168500	0.169500
74366.9	0.173200	0.162400	0.144300	0.151700	0.190300	0.184400	0.169300	0.167700
79324.7	0.170100	0.162200	0.142800	0.152400	0.193400	0.187700	0.171500	0.165600
84282.5	0.171800	0.162700	0.143500	0.151800	0.190100	0.184000	0.169100	0.165600
89240.2	0.171900	0.161700	0.142700	0.153200	0.192500	0.186200	0.169500	0.165300
94198.0	0.172400	0.161800	0.144500	0.151100	0.189600	0.182200	0.166500	0.164800
99155.8	0.177700	0.164300	0.171100	0.152500	0.187400	0.180300	0.164100	0.168200
104113.6	0.172000	0.160800	0.191800	0.152800	0.197000	0.189900	0.171300	0.162500
