VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
0.0	0.182400	0.218000	0.192200	0.262600	0.173900	0.168000	0.200700	0.157100	0.167600	0.172900	0.208400	0.256000
5164.4	0.185300	0.219200	0.194700	0.264600	0.174100	0.169700	0.201900	0.158000	0.170200	0.172100	0.211000	0.259900
10328.7	0.187300	0.228800	0.264100	0.286700	0.181500	0.169500	0.207700	0.164700	0.196700	0.188600	0.262700	0.281300
15493.1	0.184100	0.226800	0.258800	0.285100	0.180600	0.168500	0.204000	0.162700	0.194300	0.182900	0.248200	0.280900
20657.5	0.184400	0.224300	0.254800	0.281300	0.186500	0.167900	0.204200	0.165400	0.193400	0.183700	0.240500	0.275200
25821.8	0.176200	0.219000	0.250000	0.278900	0.192300	0.170300	0.209800	0.166200	0.193200	0.185600	0.238300	0.265400
30986.2	0.190200	0.230300	0.241200	0.279700	0.177200	0.163900	0.199700	0.168300	0.186600	0.173800	0.224100	0.289800
36150.6	0.180500	0.222600	0.239400	0.274300	0.186000	0.167300	0.202700	0.171600	0.191600	0.175200	0.216800	0.266800
41314.9	0.179000	0.220600	0.233600	0.272300	0.186700	0.169100	0.201600	0.169000	0.190200	0.173400	0.213600	0.263000
46479.3	0.193600	0.244200	0.245500	0.282500	0.172200	0.167500	0.199100	0.163900	0.190600	0.181000	0.244500	0.302400
51643.7	0.184200	0.237400	0.235600	0.274000	0.174300	0.166900	0.197400	0.177900	0.187300	0.171400	0.218500	0.275700
56808.0	0.180500	0.230700	0.190000	0.255500	0.169100	0.169100	0.194500	0.172700	0.171000	0.162100	0.189600	0.244500
61972.4	0.181200	0.227700	0.192600	0.257400	0.170200	0.167900	0.194400	0.174200	0.172300	0.165100	0.193900	0.244800
67136.8	0.179500	0.224800	0.193200	0.255400	0.172100	0.169000	0.193800	0.174500	0.173200	0.166400	0.194100	0.247900
72301.1	0.178400	0.223300	0.193000	0.252100	0.174300	0.168800	0.193000	0.173700	0.173800	0.167500	0.199600	0.246800
77465.5	0.178700	0.222000	0.194800	0.255000	0.177200	0.169900	0.195300	0.175000	0.179000	0.169700	0.204400	0.248900
82629.9	0.183000	0.260500	0.197600	0.255200	0.175100	0.200300	0.379700	0.280200	0.179000	0.184900	0.210400	0.293400
87794.2	0.283600	0.396500	0.204900	0.258500	0.180000	0.337600	0.410200	0.278900	0.181000	0.200400	0.252500	0.344100
92958.6	0.280600	0.381100	0.210600	0.262800	0.186000	0.321300	0.380400	0.276000	0.184400	0.198700	0.245500	0.332900
98123.0	0.280900	0.366400	0.212700	0.262600	0.191500	0.299700	0.360000	0.276000	0.185200	0.196400	0.237000	0.323800
103287.3	0.272600	0.356100	0.216400	0.261200	0.198600	0.289800	0.343400	0.277700	0.188800	0.196700	0.232800	0.315900
108451.7	0.278200	0.366500	0.283100	0.279200	0.214400	0.280800	0.338200	0.278000	0.220400	0.214100	0.282400	0.336900
113616.1	0.273900	0.356200	0.280500	0.275900	0.214100	0.274000	0.328500	0.277800	0.216100	0.211200	0.278200	0.329300
118780.4	0.275400	0.353400	0.278300	0.275700	0.209800	0.264300	0.319900	0.274800	0.212900	0.208200	0.272300	0.327000
123944.8	0.264400	0.341900	0.274800	0.273000	0.215600	0.258100	0.316800	0.269500	0.210900	0.206200	0.266200	0.315200
129109.2	0.264500	0.334200	0.271000	0.270700	0.210500	0.245800	0.308900	0.262600	0.206700	0.204700	0.262700	0.318800
134273.5	0.260300	0.330900	0.266800	0.271600	0.193300	0.236900	0.295600	0.256400	0.197200	0.197900	0.258600	0.341800
139437.9	0.260900	0.323100	0.259000	0.270600	0.189000	0.229600	0.293800	0.255600	0.194800	0.193700	0.253600	0.346200
144602.3	0.248300	0.302900	0.254600	0.266400	0.192000	0.222000	0.295600	0.250000	0.195600	0.195300	0.251300	0.330900
149766.6	0.250900	0.297900	0.251300	0.265300	0.186400	0.211500	0.294900	0.246800	0.194100	0.195300	0.250200	0.334600
154931.0	0.233200	0.277600	0.198200	0.243600	0.194700	0.206900	0.299800	0.234900	0.181400	0.184100	0.215800	0.282000
160095.3	0.235900	0.280900	0.203300	0.247400	0.186400	0.201000	0.298200	0.228100	0.181900	0.184100	0.218500	0.290500
165259.7	0.235900	0.278200	0.205200	0.248300	0.186200	0.197400	0.299600	0.229400	0.182900	0.185100	0.221800	0.293100
170424.1	0.231800	0.270200	0.204400	0.249400	0.184900	0.194400	0.295200	0.224100	0.182100	0.184800	0.220900	0.293700
175588.4	0.232800	0.262500	0.202800	0.250200	0.178600	0.191200	0.290100	0.222800	0.180300	0.181900	0.218600	0.293500
180752.8	0.227300	0.259100	0.205800	0.248400	0.185400	0.191900	0.297200	0.220600	0.186000	0.188100	0.224400	0.291500
185917.2	0.225000	0.257900	0.205300	0.249200	0.183500	0.188200	0.297500	0.220700	0.185300	0.186800	0.225000	0.290900
191081.5	0.221100	0.256500	0.205800	0.248600	0.183700	0.185400	0.293400	0.221400	0.186000	0.185500	0.224700	0.291600
196245.9	0.215100	0.251100	0.210700	0.250500	0.186500	0.186300	0.299300	0.211400	0.189500	0.189100	0.227800	0.290500
201410.3	0.223300	0.253800	0.209500	0.251300	0.178100	0.181600	0.289900	0.213100	0.185300	0.186700	0.223900	0.293900
206574.6	0.213400	0.247600	0.214400	0.249800	0.189300	0.182800	0.300000	0.211100	0.189400	0.192500	0.228800	0.291300
211739.0	0.208700	0.253500	0.268800	0.270600	0.175500	0.175300	0.284700	0.207000	0.196600	0.199400	0.264900	0.349200
216903.4	0.206400	0.253800	0.260900	0.267500	0.170100	0.175200	0.270400	0.203500	0.192200	0.197800	0.257800	0.354000
222067.7	0.199800	0.251300	0.258400	0.267600	0.171700	0.176500	0.256800	0.201300	0.190600	0.197300	0.255800	0.342200
227232.1	0.196000	0.248500	0.255500	0.265500	0.174600	0.177300	0.245700	0.197300	0.192000	0.195700	0.253200	0.332700
232396.5	0.191800	0.247000	0.252500	0.263500	0.178100	0.179000	0.237500	0.197400	0.192800	0.193300	0.250700	0.325600
237560.8	0.185300	0.244700	0.251500	0.263400	0.182600	0.183600	0.239300	0.192100	0.195700	0.198600	0.256300	0.304000
242725.2	0.185100	0.245800	0.244600	0.260600	0.187300	0.184900	0.237200	0.190700	0.195900	0.195600	0.249100	0.291900
247889.5	0.182200	0.245600	0.243900	0.260800	0.185300	0.184600	0.235100	0.194300	0.197200	0.194200	0.243400	0.294500
253053.9	0.184100	0.240200	0.197400	0.244600	0.176100	0.183400	0.224400	0.189300	0.177200	0.176200	0.206600	0.266900
258218.3	0.179800	0.242500	0.202200	0.246500	0.178100	0.183800	0.225300	0.186400	0.180000	0.177200	0.209400	0.266400
