VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
304697.5	0.249200	0.285000	0.193400	0.259300	0.246200	0.290100	0.250800	0.189900	0.145000
309861.9	0.240900	0.277700	0.192500	0.252300	0.242500	0.286100	0.244900	0.192100	0.144000
315026.2	0.235900	0.273300	0.190900	0.249100	0.237100	0.285600	0.237700	0.188300	0.146800
320190.6	0.231900	0.267400	0.190700	0.244300	0.233400	0.283100	0.229800	0.187000	0.145900
325354.9	0.227300	0.262900	0.191200	0.242600	0.232400	0.281300	0.225700	0.187400	0.141800
330519.3	0.224600	0.261700	0.193100	0.241300	0.227900	0.280500	0.218000	0.184900	0.137400
335683.7	0.218600	0.254200	0.190300	0.236400	0.222500	0.273800	0.212000	0.182600	0.135100
340848.0	0.222000	0.255600	0.192100	0.236400	0.221300	0.274100	0.207800	0.178800	0.133300
346012.4	0.215200	0.248400	0.189100	0.228600	0.217200	0.267500	0.203000	0.180600	0.135200
351176.8	0.216900	0.248600	0.189500	0.225300	0.214500	0.265400	0.199400	0.178700	0.129200
356341.1	0.215300	0.247300	0.191200	0.223300	0.214800	0.262700	0.194200	0.173300	0.127600
361505.5	0.209700	0.240700	0.190600	0.220900	0.211500	0.258700	0.192900	0.176400	0.133000
366669.9	0.212700	0.243600	0.192800	0.219800	0.211000	0.258400	0.190400	0.173600	0.124600
371834.2	0.199100	0.232100	0.188600	0.216600	0.208600	0.251300	0.189900	0.178900	0.138300
376998.6	0.201900	0.234900	0.189100	0.215300	0.208100	0.248400	0.186000	0.175500	0.131400
382163.0	0.199600	0.232700	0.189700	0.213200	0.205100	0.245300	0.184300	0.173800	0.131000
387327.3	0.199400	0.230800	0.188000	0.210600	0.201100	0.242400	0.181700	0.173500	0.132200
392491.7	0.200900	0.234600	0.190800	0.209200	0.202200	0.243300	0.181500	0.171100	0.129800
397656.0	0.201200	0.233600	0.189700	0.207100	0.201900	0.242400	0.180500	0.170100	0.125200
402820.4	0.200100	0.233900	0.192600	0.209300	0.204600	0.241200	0.179300	0.168600	0.124300
407984.8	0.191900	0.224800	0.189600	0.210000	0.202500	0.236900	0.178700	0.174700	0.131500
413149.1	0.192700	0.226600	0.189800	0.207200	0.199900	0.234800	0.177100	0.172200	0.131100
418313.5	0.192700	0.225800	0.189100	0.206000	0.199000	0.232400	0.175700	0.170900	0.128100
423477.9	0.201700	0.232400	0.193400	0.205800	0.200800	0.235100	0.173800	0.166300	0.121200
428642.2	0.194700	0.223000	0.191500	0.203700	0.200400	0.230300	0.174900	0.170800	0.129100
433806.6	0.193700	0.222700	0.192800	0.204300	0.198200	0.228300	0.174400	0.172100	0.130400
438970.9	0.189500	0.219200	0.190100	0.203200	0.194000	0.222800	0.171900	0.171600	0.133500
444135.3	0.189000	0.218800	0.190600	0.204400	0.196100	0.223600	0.173100	0.171000	0.132800
449299.7	0.189200	0.221900	0.194300	0.204400	0.193700	0.223400	0.171800	0.170500	0.132600
454464.0	0.192000	0.223900	0.192700	0.201500	0.192400	0.221200	0.170700	0.167500	0.131900
459628.4	0.190600	0.221500	0.194600	0.204100	0.196000	0.223400	0.171300	0.169300	0.133600
464792.8	0.193600	0.227300	0.195100	0.199700	0.195800	0.225200	0.170000	0.165700	0.129800
469957.1	0.186800	0.219200	0.194200	0.199200	0.194100	0.219600	0.170800	0.170700	0.129400
475121.5	0.191200	0.223300	0.196300	0.199100	0.196900	0.221800	0.171000	0.169100	0.131600
480285.9	0.195400	0.229600	0.198200	0.198100	0.195600	0.219900	0.170400	0.164700	0.125300
485450.2	0.190900	0.223500	0.195300	0.196600	0.192900	0.217000	0.167900	0.166200	0.130600
490614.6	0.191100	0.225400	0.195600	0.195100	0.192900	0.217600	0.169200	0.167000	0.128700
