VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)	ROI(1-13)	ROI(1-14)	ROI(1-15)	ROI(1-16)	ROI(1-17)	ROI(1-18)	ROI(1-19)	ROI(1-20)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
128902.5	0.243000	0.387200	0.182300	0.199300	0.153300	0.100700	0.360800	0.268100	0.235400	0.293400	0.426000	0.354000	0.378200	0.312300	0.342100	0.300600	0.319700	0.373300	0.256100	0.231100
133860.3	0.239800	0.377400	0.177800	0.195100	0.146000	0.094000	0.362200	0.270300	0.232000	0.284000	0.434700	0.358700	0.382700	0.305200	0.329900	0.293600	0.321000	0.375500	0.254600	0.231500
138818.1	0.238900	0.379000	0.177300	0.187300	0.143700	0.091800	0.352500	0.270600	0.231600	0.277900	0.443800	0.362000	0.397100	0.293700	0.321400	0.286400	0.321400	0.372700	0.253100	0.231600
143775.9	0.235800	0.368500	0.178200	0.190000	0.143400	0.091300	0.353600	0.268100	0.229000	0.267400	0.448500	0.358600	0.402100	0.282300	0.315200	0.279500	0.319800	0.373400	0.251600	0.228100
148733.7	0.235700	0.369100	0.174300	0.182400	0.139800	0.088000	0.349700	0.273500	0.230800	0.270800	0.461400	0.358800	0.432200	0.283600	0.312100	0.278000	0.327200	0.375300	0.252900	0.233000
153691.5	0.234900	0.369000	0.177400	0.184700	0.142800	0.090600	0.348800	0.268100	0.229400	0.261700	0.467800	0.352900	0.429400	0.274400	0.304600	0.271400	0.327100	0.370100	0.249900	0.228400
158649.3	0.232900	0.367300	0.179300	0.188400	0.144200	0.090200	0.335900	0.261900	0.227000	0.255100	0.473700	0.349200	0.440800	0.263000	0.299800	0.267300	0.330200	0.361100	0.249900	0.225800
163607.0	0.230200	0.360800	0.178900	0.187800	0.141700	0.089900	0.324000	0.256500	0.224000	0.252300	0.479100	0.346400	0.458600	0.256200	0.293300	0.262800	0.334400	0.350500	0.247800	0.222400
168564.8	0.229400	0.357000	0.177300	0.180700	0.139200	0.088900	0.320000	0.256900	0.225000	0.252800	0.491400	0.343700	0.487000	0.253600	0.288800	0.260400	0.338500	0.349100	0.248200	0.225400
173522.6	0.229100	0.352800	0.176500	0.176100	0.134700	0.084600	0.313300	0.256100	0.227800	0.257700	0.498100	0.338500	0.522100	0.254000	0.286600	0.260100	0.348900	0.347900	0.248400	0.227800
178480.4	0.228800	0.345600	0.179600	0.175800	0.137000	0.086400	0.306500	0.250900	0.224900	0.252400	0.499900	0.331500	0.534000	0.252000	0.285100	0.258600	0.353000	0.341000	0.248100	0.223400
183438.2	0.228000	0.349600	0.178700	0.185200	0.135700	0.085400	0.307400	0.249700	0.225300	0.254000	0.510500	0.323900	0.566500	0.253400	0.288300	0.260200	0.356100	0.343200	0.249800	0.225400
188396.0	0.225800	0.329700	0.179100	0.172600	0.134800	0.085200	0.294900	0.247500	0.223300	0.249500	0.513600	0.313000	0.568700	0.249600	0.274200	0.254300	0.354000	0.330900	0.246500	0.223400
193353.8	0.224800	0.342100	0.182100	0.179700	0.140800	0.089700	0.285300	0.243100	0.223000	0.245600	0.516700	0.299400	0.578500	0.249700	0.277500	0.255000	0.352500	0.322200	0.248800	0.220200
198311.6	0.223800	0.329900	0.183000	0.177400	0.139400	0.088600	0.275800	0.239700	0.219300	0.241800	0.516300	0.286100	0.569500	0.247200	0.279400	0.255500	0.353100	0.313200	0.250100	0.217200
203269.4	0.222900	0.332000	0.184700	0.181500	0.144500	0.092900	0.265200	0.237500	0.217900	0.237100	0.517100	0.276200	0.567900	0.245200	0.277400	0.254400	0.350500	0.303800	0.248700	0.214200
208227.1	0.219000	0.310500	0.177900	0.168100	0.135200	0.085000	0.258300	0.239200	0.218500	0.245400	0.522000	0.266400	0.600400	0.249100	0.272000	0.252700	0.349700	0.293300	0.250000	0.218100
213184.9	0.214600	0.291500	0.179400	0.166600	0.136900	0.085700	0.246400	0.234600	0.217100	0.239000	0.516700	0.251800	0.578000	0.244000	0.261300	0.245300	0.338000	0.277700	0.244800	0.213400
218142.7	0.210200	0.268300	0.179200	0.166500	0.141600	0.092200	0.238600	0.228600	0.214700	0.232900	0.498000	0.234400	0.565200	0.237100	0.243000	0.232300	0.317900	0.263900	0.233800	0.211700
223100.5	0.208300	0.255800	0.172700	0.146100	0.128300	0.081900	0.231300	0.226700	0.213300	0.234100	0.486000	0.223900	0.566700	0.235100	0.228700	0.223900	0.305400	0.252800	0.223700	0.214600
228058.3	0.209900	0.271400	0.171500	0.140100	0.125300	0.079500	0.225000	0.222700	0.211000	0.230800	0.473100	0.217700	0.553900	0.233000	0.224900	0.219900	0.292000	0.245200	0.220900	0.212200
233016.1	0.207000	0.261600	0.169900	0.135900	0.123200	0.079500	0.219300	0.218700	0.207500	0.226000	0.455300	0.212000	0.532100	0.228900	0.221000	0.216500	0.276900	0.236700	0.216800	0.208400
237973.9	0.205000	0.246400	0.169100	0.135200	0.124900	0.080100	0.217000	0.216100	0.208000	0.223200	0.440000	0.209600	0.514100	0.224400	0.218300	0.212900	0.264500	0.231200	0.213700	0.207800
242931.7	0.203300	0.233000	0.169300	0.140900	0.132300	0.087300	0.215600	0.214600	0.208900	0.221200	0.425700	0.207100	0.505600	0.220800	0.216000	0.211000	0.254000	0.225800	0.211000	0.209500
247889.5	0.200300	0.219700	0.165900	0.136400	0.127900	0.084100	0.215200	0.214300	0.206200	0.221800	0.414300	0.205800	0.497400	0.218800	0.214200	0.209300	0.247600	0.222500	0.207600	0.208700
252847.2	0.197700	0.211800	0.163800	0.132600	0.124000	0.081100	0.212600	0.209900	0.203400	0.217300	0.401500	0.203500	0.470100	0.213300	0.212400	0.205200	0.238900	0.217500	0.202900	0.206900
257805.0	0.196600	0.207600	0.162600	0.132000	0.125100	0.080900	0.207600	0.207100	0.201900	0.213800	0.390700	0.202600	0.447600	0.210100	0.211200	0.202900	0.231500	0.212400	0.200600	0.204300
262762.8	0.194700	0.202000	0.160000	0.130500	0.123900	0.081400	0.208200	0.208100	0.201000	0.214900	0.385700	0.201600	0.441500	0.209300	0.209900	0.201800	0.229400	0.211600	0.198000	0.203700
267720.6	0.195500	0.201700	0.161600	0.132100	0.126500	0.082500	0.207300	0.206900	0.200800	0.213600	0.377700	0.202400	0.429300	0.207800	0.210400	0.202000	0.227500	0.210700	0.196000	0.204700
272678.4	0.196600	0.201400	0.160800	0.129600	0.124800	0.080800	0.208800	0.208700	0.202500	0.214000	0.373300	0.202800	0.422700	0.207600	0.212500	0.202400	0.227000	0.211700	0.195700	0.205000
277636.2	0.196500	0.199500	0.158300	0.125500	0.121100	0.077600	0.211700	0.211300	0.204900	0.217200	0.366400	0.203900	0.426400	0.209000	0.212000	0.203000	0.226800	0.213600	0.194900	0.208100
282594.0	0.196500	0.197800	0.158500	0.126800	0.122900	0.079800	0.210600	0.210300	0.204100	0.216600	0.355700	0.204400	0.413600	0.208100	0.211100	0.201300	0.222900	0.212600	0.191700	0.207600
287551.8	0.196200	0.197300	0.159500	0.130500	0.127900	0.083900	0.209600	0.207900	0.202200	0.212400	0.344300	0.202900	0.393000	0.205600	0.210400	0.199100	0.219400	0.211900	0.189700	0.204500
292509.6	0.195300	0.192800	0.155600	0.123500	0.121300	0.078700	0.209200	0.207500	0.201700	0.214100	0.334300	0.201900	0.390900	0.204400	0.208200	0.197000	0.216900	0.211000	0.187100	0.206200
297467.4	0.194500	0.191400	0.153600	0.121200	0.119100	0.077100	0.210700	0.208300	0.204000	0.215300	0.326100	0.201400	0.385700	0.204500	0.207500	0.197000	0.215000	0.211300	0.186300	0.207700
302425.1	0.194700	0.191600	0.159000	0.128900	0.128000	0.083900	0.208100	0.204100	0.198300	0.207900	0.319000	0.201600	0.350500	0.201000	0.207600	0.195300	0.210100	0.208500	0.184500	0.200300
307382.9	0.194100	0.188900	0.155600	0.124400	0.123700	0.081500	0.209400	0.207100	0.202200	0.212300	0.311800	0.201100	0.363100	0.201400	0.206200	0.194500	0.209600	0.208900	0.183600	0.206000
312340.7	0.193900	0.189100	0.156500	0.125700	0.125200	0.082300	0.208600	0.205500	0.202500	0.210600	0.306600	0.201000	0.349800	0.200500	0.205500	0.193300	0.208400	0.208800	0.182700	0.204600
317298.5	0.194000	0.186200	0.152400	0.120900	0.120000	0.078200	0.209200	0.206600	0.202900	0.212800	0.302700	0.202400	0.350700	0.200600	0.204400	0.192700	0.208400	0.208400	0.182000	0.207400
322256.3	0.195500	0.188100	0.155800	0.127100	0.126900	0.083300	0.208800	0.205700	0.199500	0.208900	0.296800	0.202600	0.328000	0.198900	0.203400	0.191100	0.205100	0.207000	0.180900	0.203200
327214.1	0.193400	0.184500	0.153000	0.123200	0.123400	0.080700	0.206600	0.204900	0.199700	0.211100	0.291900	0.201600	0.321200	0.199100	0.201300	0.189600	0.204600	0.205900	0.179200	0.205000
332171.9	0.194400	0.185400	0.154800	0.124800	0.125200	0.082800	0.206100	0.204000	0.199300	0.208800	0.286900	0.201400	0.307200	0.197300	0.201300	0.188700	0.202700	0.204700	0.178800	0.203900
337129.7	0.194700	0.184400	0.154200	0.123500	0.124400	0.083200	0.206800	0.205100	0.200000	0.211400	0.283800	0.201100	0.305100	0.198200	0.200500	0.188100	0.202700	0.205400	0.178000	0.205000
