VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)
GraphNo	1	2	3	4	5	6	7	8	9	10
273711.4	0.173800	0.326300	0.255700	0.204800	0.071400	0.231900	0.305100	0.264000	0.176500	0.137400
278875.7	0.177400	0.308300	0.235600	0.200300	0.077300	0.246200	0.291000	0.257200	0.183500	0.141600
284040.1	0.177100	0.298700	0.229000	0.197200	0.078800	0.250400	0.284100	0.249700	0.183700	0.140600
289204.4	0.177000	0.293700	0.222000	0.193100	0.086600	0.270400	0.276700	0.241500	0.186900	0.140900
294368.8	0.172000	0.288000	0.216900	0.192600	0.074000	0.229500	0.278300	0.237500	0.178200	0.138800
299533.2	0.171000	0.276700	0.210800	0.188000	0.081400	0.239500	0.270700	0.231100	0.179100	0.137700
304697.5	0.172300	0.272400	0.205100	0.188400	0.082600	0.237700	0.267600	0.228100	0.177900	0.139100
309861.9	0.171700	0.267600	0.201100	0.185900	0.075900	0.216200	0.266000	0.224800	0.172700	0.137500
315026.3	0.170000	0.262800	0.198900	0.185800	0.077200	0.209500	0.265100	0.220600	0.169400	0.138200
320190.6	0.168100	0.258400	0.200100	0.184500	0.074400	0.195400	0.261800	0.216400	0.164500	0.136000
325355.0	0.170100	0.254000	0.195900	0.184400	0.076400	0.194700	0.258500	0.211700	0.162800	0.136200
330519.4	0.167300	0.249400	0.194100	0.182700	0.075100	0.185500	0.257100	0.209100	0.158900	0.135200
335683.7	0.168400	0.245100	0.191200	0.182100	0.076400	0.181700	0.254000	0.204600	0.158400	0.135500
340848.1	0.168600	0.240300	0.188100	0.180500	0.074800	0.173700	0.250000	0.203900	0.155200	0.136400
346012.5	0.169000	0.235500	0.186700	0.179300	0.079000	0.175400	0.245400	0.200500	0.152600	0.135200
351176.8	0.168900	0.232700	0.185400	0.179200	0.076300	0.165000	0.245300	0.198500	0.150000	0.134000
356341.2	0.166500	0.230900	0.187200	0.179300	0.074400	0.157100	0.245300	0.197600	0.146300	0.133100
361505.5	0.167800	0.227000	0.183000	0.179800	0.077000	0.154600	0.241800	0.196000	0.143800	0.132600
366669.9	0.169600	0.221800	0.179000	0.177000	0.075300	0.149000	0.239300	0.193200	0.141800	0.132700
371834.3	0.169100	0.223400	0.182100	0.178400	0.072200	0.142300	0.239600	0.193400	0.139300	0.132200
376998.6	0.166200	0.223500	0.187000	0.179300	0.071300	0.136200	0.241000	0.192000	0.134800	0.130200
382163.0	0.167000	0.225500	0.190200	0.180600	0.067200	0.124900	0.241100	0.192400	0.129900	0.128000
387327.4	0.169800	0.211900	0.171600	0.176800	0.081900	0.143600	0.232400	0.188200	0.138600	0.133900
392491.7	0.167400	0.216200	0.177500	0.177800	0.072600	0.127600	0.234500	0.187800	0.130500	0.131600
397656.1	0.164600	0.218400	0.185400	0.179600	0.068600	0.119800	0.235900	0.188900	0.126300	0.129100
402820.5	0.169300	0.211300	0.176000	0.178700	0.077700	0.127200	0.230900	0.186700	0.131000	0.133100
407984.8	0.169900	0.206600	0.171000	0.176600	0.075800	0.124200	0.226800	0.184700	0.129800	0.132100
413149.2	0.165700	0.208400	0.174800	0.177000	0.074900	0.120200	0.228600	0.183900	0.128300	0.132100
418313.5	0.168200	0.203700	0.170700	0.175000	0.076700	0.119600	0.225000	0.182000	0.127900	0.132400
423477.9	0.169200	0.206900	0.175000	0.175700	0.075600	0.116800	0.225100	0.181700	0.124500	0.130600
428642.3	0.169500	0.204500	0.174500	0.175500	0.075800	0.115000	0.223500	0.181500	0.125800	0.131900
433806.6	0.168200	0.204500	0.176600	0.175200	0.072300	0.109500	0.222900	0.180700	0.120800	0.129100
438971.0	0.165500	0.202500	0.173800	0.174300	0.068200	0.105300	0.221200	0.180000	0.118800	0.129000
444135.4	0.167100	0.200200	0.172800	0.173700	0.071200	0.105700	0.219900	0.178900	0.118000	0.128800
449299.8	0.166300	0.197000	0.172500	0.173000	0.072100	0.106800	0.217600	0.178000	0.118000	0.128400
454464.1	0.168500	0.195800	0.169200	0.173500	0.071700	0.106100	0.216500	0.178800	0.118700	0.130100
459628.5	0.164300	0.195200	0.172600	0.172700	0.069200	0.101500	0.216100	0.177600	0.116000	0.128900
464792.8	0.164800	0.193100	0.167300	0.172100	0.070900	0.101300	0.214300	0.176600	0.117100	0.129800
469957.2	0.164800	0.193600	0.168600	0.172000	0.076400	0.106400	0.212800	0.175500	0.117100	0.129300
475121.6	0.163200	0.198200	0.176500	0.172000	0.070400	0.098800	0.214900	0.176900	0.112500	0.126700
480285.9	0.167600	0.189400	0.166100	0.170100	0.077700	0.105500	0.209600	0.175400	0.118800	0.130100
485450.3	0.167200	0.193400	0.172000	0.173900	0.075400	0.103400	0.213000	0.176900	0.117500	0.129800
490614.6	0.169000	0.187900	0.166200	0.170800	0.080100	0.107700	0.207900	0.175600	0.119200	0.131200
495779.0	0.166800	0.189800	0.169700	0.171600	0.071600	0.097100	0.210500	0.175200	0.115900	0.129200
500943.4	0.166700	0.191100	0.171300	0.172900	0.070000	0.095800	0.210900	0.175600	0.114300	0.128900
506107.7	0.169200	0.189800	0.168700	0.173000	0.072500	0.098400	0.208700	0.175000	0.116700	0.131700
511272.1	0.166400	0.188900	0.169700	0.171400	0.072300	0.097200	0.208200	0.174300	0.115800	0.131000
516436.5	0.164000	0.190800	0.175800	0.174500	0.068200	0.092700	0.211000	0.175200	0.111900	0.129100
521600.8	0.166900	0.191700	0.175800	0.174600	0.069500	0.094100	0.208800	0.174900	0.112300	0.129600
526765.2	0.167400	0.184500	0.168500	0.171600	0.077200	0.100600	0.204800	0.173100	0.117500	0.131700
531929.5	0.168700	0.184300	0.166000	0.172900	0.078700	0.101100	0.203700	0.173500	0.118600	0.135300
537093.9	0.167900	0.183300	0.166600	0.171700	0.073100	0.096100	0.203100	0.173600	0.115000	0.132200
542258.3	0.165900	0.191200	0.177700	0.176500	0.070900	0.093500	0.209300	0.174200	0.113900	0.131500
547422.6	0.170700	0.189700	0.173200	0.176800	0.071300	0.094300	0.207600	0.175600	0.115200	0.134100
552587.0	0.170300	0.192000	0.179300	0.179800	0.072900	0.094200	0.209400	0.175800	0.115800	0.133600
557751.4	0.169600	0.189400	0.175600	0.177500	0.070600	0.091800	0.208300	0.175200	0.115500	0.133900
562915.7	0.170100	0.186800	0.174600	0.176200	0.076500	0.096200	0.205400	0.174300	0.117900	0.134800
568080.1	0.173600	0.186500	0.172100	0.177900	0.081100	0.101200	0.204100	0.175700	0.121600	0.137400
573244.5	0.174300	0.184400	0.170100	0.175600	0.082400	0.103000	0.203900	0.174700	0.121200	0.136500
578408.8	0.172000	0.187300	0.177400	0.178300	0.072100	0.092600	0.206700	0.175400	0.115600	0.133600
583573.2	0.172500	0.190100	0.180500	0.179900	0.070500	0.091100	0.207900	0.176000	0.114900	0.133400
588737.5	0.173000	0.187000	0.176800	0.178000	0.073100	0.092800	0.207900	0.175500	0.116700	0.133600
593901.9	0.172100	0.190100	0.179100	0.180100	0.070900	0.090700	0.208100	0.175800	0.115300	0.133200
599066.3	0.172800	0.184200	0.173300	0.177200	0.076000	0.095500	0.204600	0.175200	0.118100	0.134700
604230.6	0.172500	0.189000	0.180000	0.180900	0.072300	0.092200	0.208700	0.176300	0.116300	0.134400
609395.0	0.174500	0.188100	0.179500	0.180200	0.073700	0.091200	0.206600	0.176600	0.116500	0.134800
614559.4	0.174400	0.188100	0.178400	0.179700	0.078100	0.096700	0.204700	0.175200	0.117300	0.134700
619723.7	0.172200	0.187600	0.179900	0.180300	0.071400	0.089400	0.206900	0.176300	0.114900	0.133600
624888.1	0.176400	0.184900	0.175600	0.178100	0.079200	0.096300	0.204300	0.175800	0.116200	0.134100
630052.5	0.175000	0.186600	0.180300	0.178800	0.073600	0.089700	0.205300	0.176300	0.113300	0.132600
635216.8	0.175500	0.185900	0.175400	0.178100	0.078800	0.093900	0.204500	0.176000	0.115400	0.133000
640381.2	0.179900	0.182200	0.170500	0.177100	0.082100	0.097400	0.202500	0.176300	0.118000	0.135200
645545.5	0.179200	0.185300	0.176200	0.180400	0.078000	0.092300	0.205400	0.177900	0.116000	0.134800
650709.9	0.178000	0.185600	0.175400	0.177600	0.079600	0.094500	0.204100	0.177400	0.117100	0.134300
655874.3	0.178900	0.186100	0.174200	0.177500	0.079600	0.094500	0.202900	0.179300	0.116200	0.134400
661038.6	0.176000	0.183900	0.174200	0.175700	0.079600	0.093600	0.202800	0.178400	0.115000	0.133400
666203.0	0.176500	0.182000	0.167900	0.175700	0.088700	0.100200	0.201000	0.178100	0.120300	0.137500
671367.4	0.177800	0.183200	0.170200	0.175200	0.087200	0.098300	0.202000	0.179600	0.117800	0.136500
676531.7	0.174500	0.187800	0.176600	0.177900	0.083000	0.093500	0.204600	0.180400	0.115600	0.137100
681696.1	0.171100	0.188500	0.180700	0.176700	0.072900	0.084800	0.205900	0.179100	0.110800	0.135800
686860.4	0.175300	0.185800	0.173000	0.176300	0.087900	0.098500	0.201900	0.178700	0.118800	0.142200
692024.8	0.172700	0.188500	0.177700	0.175400	0.079900	0.090900	0.203900	0.180600	0.115400	0.140000
697189.2	0.172900	0.184200	0.170900	0.174500	0.086500	0.095000	0.201500	0.179000	0.117500	0.140400
702353.5	0.174400	0.182600	0.168700	0.173700	0.096600	0.102700	0.199200	0.178900	0.121300	0.140900
707517.9	0.168900	0.184000	0.173600	0.173700	0.083600	0.091300	0.203800	0.180800	0.115600	0.136900
