VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)	ROI(1-10)	ROI(1-11)	ROI(1-12)
GraphNo	1	2	3	4	5	6	7	8	9	10	11	12
0.0	0.184200	0.569800	0.574500	0.277400	0.200400	0.227800	0.446900	0.329800	0.340700	0.159500	0.175300	0.233800
4957.8	0.186200	0.568600	0.576400	0.278100	0.199500	0.227300	0.446400	0.331400	0.345000	0.152800	0.175500	0.234100
9915.6	0.187100	0.565300	0.574200	0.277100	0.198400	0.225600	0.443300	0.330500	0.337600	0.155100	0.177100	0.233000
14873.4	0.183300	0.565900	0.582200	0.280300	0.199500	0.226200	0.449900	0.335600	0.339900	0.155700	0.173900	0.233700
19831.2	0.183900	0.566600	0.577400	0.275700	0.197600	0.225400	0.445800	0.333000	0.335300	0.147700	0.172700	0.234100
24789.0	0.186400	0.564600	0.573100	0.274700	0.194900	0.225300	0.442700	0.331300	0.330000	0.148900	0.171800	0.231700
29746.8	0.183500	0.560700	0.572900	0.274900	0.193400	0.225100	0.436500	0.327300	0.327100	0.147000	0.169900	0.230100
34704.5	0.184700	0.568000	0.591300	0.281600	0.195100	0.224700	0.446700	0.332400	0.342500	0.143000	0.168400	0.233000
39662.3	0.184700	0.569600	0.586400	0.276200	0.192900	0.224600	0.442600	0.331700	0.336100	0.141600	0.167100	0.232400
44620.1	0.186000	0.571200	0.595200	0.280600	0.191900	0.224000	0.445800	0.334700	0.341500	0.144000	0.167700	0.232000
49577.9	0.182700	0.563000	0.575400	0.273200	0.190200	0.222300	0.439400	0.325800	0.331700	0.142800	0.167500	0.231200
54535.7	0.185300	0.565500	0.578100	0.268000	0.189200	0.221200	0.433800	0.319900	0.326200	0.146800	0.171400	0.229500
59493.5	0.182700	0.563200	0.583800	0.269800	0.190500	0.221900	0.436700	0.321600	0.325400	0.145900	0.169900	0.229100
64451.3	0.181100	0.560600	0.582400	0.267000	0.186600	0.220000	0.434300	0.319600	0.321400	0.140600	0.169200	0.230600
69409.1	0.183600	0.561800	0.583200	0.265800	0.186100	0.219200	0.439000	0.318600	0.314900	0.146900	0.171600	0.226300
74366.9	0.185700	0.565400	0.591900	0.273500	0.188800	0.221500	0.445000	0.324800	0.323800	0.147300	0.171500	0.228300
79324.7	0.187700	0.567300	0.584900	0.272200	0.188900	0.221800	0.443900	0.320300	0.318800	0.146200	0.174200	0.228000
84282.5	0.188300	0.577900	0.602000	0.283400	0.191800	0.223800	0.455400	0.338900	0.346100	0.141700	0.171100	0.231800
89240.3	0.189300	0.578200	0.579100	0.277900	0.191900	0.223900	0.451100	0.322000	0.323800	0.144200	0.172700	0.230300
94198.1	0.189100	0.592700	0.582800	0.281100	0.194100	0.223200	0.472100	0.333000	0.339600	0.140200	0.168800	0.232800
99155.8	0.188500	0.593500	0.582100	0.276500	0.191800	0.222700	0.481500	0.327700	0.332500	0.144200	0.168300	0.232100
104113.6	0.186600	0.594900	0.585200	0.276300	0.189400	0.221200	0.493000	0.324700	0.326900	0.146700	0.167600	0.232000
109071.4	0.184700	0.594700	0.585300	0.269000	0.186100	0.219100	0.502200	0.325300	0.328000	0.140300	0.165700	0.232600
114029.2	0.183300	0.598300	0.591200	0.268200	0.186100	0.218600	0.508300	0.322900	0.326200	0.138200	0.165500	0.231500
118987.0	0.183900	0.595500	0.609100	0.269600	0.186000	0.217400	0.517700	0.319500	0.332300	0.138900	0.164400	0.230900
123944.8	0.184200	0.589900	0.604300	0.264900	0.186500	0.215900	0.522000	0.310200	0.319600	0.143500	0.166600	0.230100
128902.6	0.182700	0.589400	0.605600	0.260400	0.184700	0.216800	0.525800	0.306700	0.312700	0.142000	0.165400	0.231200
133860.4	0.184600	0.593800	0.604900	0.260200	0.184600	0.215200	0.533300	0.307300	0.319300	0.136900	0.163900	0.230700
138818.2	0.183800	0.599000	0.608500	0.263300	0.183100	0.214600	0.536300	0.308400	0.318700	0.140600	0.163900	0.231300
143776.0	0.182800	0.593600	0.600000	0.260200	0.181800	0.213000	0.533900	0.302400	0.310900	0.141300	0.164600	0.229500
148733.8	0.183900	0.594400	0.601000	0.262000	0.182200	0.212600	0.534500	0.301200	0.309900	0.142800	0.162400	0.229900
153691.6	0.183600	0.595800	0.600900	0.260900	0.181800	0.213000	0.535300	0.298700	0.306000	0.138600	0.164700	0.231000
158649.4	0.182300	0.595700	0.603900	0.261800	0.181200	0.211600	0.533100	0.301000	0.307700	0.139700	0.162500	0.230300
163607.1	0.179400	0.584300	0.588900	0.253500	0.180800	0.211000	0.520900	0.289200	0.288700	0.137600	0.163800	0.230000
168564.9	0.182200	0.590300	0.604400	0.259200	0.180300	0.211200	0.530800	0.297100	0.303700	0.136400	0.160100	0.229900
173522.7	0.182800	0.591400	0.601900	0.260100	0.179900	0.211000	0.530400	0.296900	0.302200	0.133300	0.159400	0.231400
178480.5	0.183100	0.587900	0.596200	0.258100	0.179100	0.209600	0.522200	0.290500	0.292300	0.136400	0.163700	0.230100
183438.3	0.182100	0.592700	0.606900	0.264900	0.179300	0.209600	0.530800	0.297800	0.305700	0.136300	0.162200	0.230800
188396.1	0.180500	0.594300	0.599100	0.260500	0.179400	0.209100	0.521700	0.292200	0.297400	0.134600	0.160600	0.230300
193353.9	0.181900	0.599500	0.604200	0.263100	0.179100	0.209600	0.524100	0.296900	0.305200	0.135300	0.159600	0.228700
198311.7	0.181800	0.597000	0.604400	0.262300	0.180900	0.209300	0.521200	0.292000	0.297200	0.136300	0.161100	0.230300
203269.5	0.182700	0.597200	0.607900	0.265900	0.182500	0.210700	0.520400	0.292000	0.295300	0.135600	0.160800	0.227600
208227.3	0.181300	0.591400	0.603700	0.266000	0.181100	0.209600	0.513300	0.286900	0.287600	0.139400	0.161500	0.227000
213185.1	0.184300	0.598600	0.615500	0.271600	0.182600	0.211500	0.524100	0.295300	0.307400	0.131700	0.161200	0.227400
218142.9	0.184700	0.598300	0.609100	0.270800	0.184800	0.211300	0.516000	0.286900	0.292000	0.137400	0.163500	0.225100
223100.6	0.184400	0.602300	0.614900	0.274800	0.186300	0.212000	0.518000	0.293600	0.304300	0.135300	0.165700	0.227700
228058.4	0.183300	0.599700	0.615400	0.274200	0.185100	0.211800	0.515700	0.292200	0.304800	0.134400	0.163900	0.229900
233016.2	0.183100	0.593600	0.599800	0.270300	0.183800	0.210700	0.505300	0.282500	0.290000	0.136800	0.164700	0.227900
237974.0	0.184200	0.587900	0.595600	0.265400	0.182200	0.209200	0.496300	0.277700	0.284100	0.133700	0.166100	0.227500
242931.8	0.189700	0.598600	0.615900	0.275800	0.183400	0.211300	0.507600	0.290600	0.301200	0.131200	0.162800	0.227700
247889.6	0.192000	0.590400	0.602100	0.265900	0.180900	0.209600	0.495100	0.278300	0.281900	0.136200	0.163400	0.225800
