VERSION	1200
Time[MSec.]	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio	Ratio
%.1f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f	%.4f
Time	ROI(1-1)	ROI(1-2)	ROI(1-3)	ROI(1-4)	ROI(1-5)	ROI(1-6)	ROI(1-7)	ROI(1-8)	ROI(1-9)
GraphNo	1	2	3	4	5	6	7	8	9
263382.6	0.243500	0.181700	0.170600	0.248000	0.232800	0.217700	0.225300	0.167500	0.107400
268546.9	0.240100	0.186800	0.174800	0.240300	0.233900	0.217100	0.231500	0.162100	0.108500
273711.3	0.239200	0.188600	0.179300	0.243400	0.236900	0.217600	0.233200	0.165300	0.103500
278875.6	0.243400	0.187600	0.176000	0.240500	0.239900	0.219600	0.233700	0.163300	0.093600
284040.0	0.235300	0.183500	0.178000	0.237400	0.234800	0.214100	0.224500	0.166800	0.110400
289204.4	0.231000	0.181100	0.178100	0.235200	0.235500	0.212600	0.223100	0.167400	0.111600
294368.7	0.231700	0.180700	0.175300	0.233600	0.236400	0.211700	0.223300	0.166800	0.111100
299533.1	0.231300	0.180400	0.174900	0.231600	0.241400	0.211600	0.221400	0.166600	0.109800
304697.5	0.234100	0.186400	0.181300	0.233000	0.246500	0.216400	0.233000	0.161600	0.093200
309861.8	0.227100	0.180800	0.177700	0.228900	0.242900	0.210900	0.222300	0.166300	0.109700
315026.2	0.225900	0.181200	0.176500	0.228700	0.241700	0.210100	0.222400	0.166800	0.113400
320190.6	0.225800	0.187800	0.177000	0.227800	0.244400	0.212100	0.232500	0.159900	0.092100
325354.9	0.222500	0.182400	0.177600	0.225500	0.241400	0.208700	0.221500	0.165200	0.109600
330519.3	0.223200	0.184200	0.180100	0.225600	0.244100	0.211300	0.222500	0.167000	0.105900
335683.6	0.215400	0.185700	0.189300	0.223700	0.241200	0.206400	0.228500	0.165300	0.102600
340848.0	0.221000	0.182000	0.179600	0.221000	0.245800	0.207900	0.220200	0.165100	0.106600
346012.4	0.214800	0.184200	0.182300	0.220200	0.242100	0.206700	0.231800	0.162000	0.092800
351176.7	0.213300	0.185200	0.185300	0.219600	0.245000	0.205900	0.228400	0.162400	0.103400
356341.1	0.213500	0.184400	0.194600	0.222700	0.248200	0.206700	0.225900	0.169200	0.109900
361505.5	0.210500	0.174300	0.148600	0.201000	0.239000	0.198900	0.209600	0.153300	0.099800
366669.8	0.211000	0.192300	0.185000	0.216900	0.246300	0.207300	0.232700	0.161300	0.095000
371834.2	0.208600	0.190100	0.185900	0.216300	0.244600	0.204000	0.224100	0.165700	0.107800
376998.5	0.207600	0.194600	0.201200	0.220600	0.248900	0.206400	0.231100	0.169900	0.110400
382162.9	0.202700	0.194700	0.183800	0.210200	0.241900	0.202200	0.232400	0.160600	0.103000
387327.3	0.205300	0.195600	0.190200	0.213500	0.244300	0.205000	0.233100	0.161000	0.095900
392491.6	0.204000	0.192700	0.186200	0.212300	0.247200	0.205600	0.224300	0.164600	0.106600
397656.0	0.204300	0.193100	0.188500	0.213300	0.252800	0.207300	0.224500	0.165600	0.107000
402820.4	0.200800	0.192400	0.190300	0.213200	0.250900	0.205600	0.225700	0.165600	0.107900
407984.7	0.199200	0.189900	0.189400	0.211800	0.250400	0.205000	0.224300	0.166800	0.109300
413149.1	0.199700	0.191100	0.191100	0.213200	0.253000	0.205700	0.225600	0.166500	0.106400
418313.4	0.195200	0.192500	0.188000	0.207800	0.250000	0.203700	0.231800	0.160000	0.098500
423477.8	0.194200	0.195300	0.196100	0.209900	0.250200	0.205200	0.230200	0.164100	0.109900
428642.2	0.197500	0.192100	0.194300	0.213200	0.255900	0.207600	0.223900	0.168800	0.110400
433806.5	0.196100	0.194500	0.197700	0.214200	0.256700	0.210000	0.225100	0.170200	0.110500
438970.9	0.194800	0.203000	0.197800	0.213000	0.255900	0.212100	0.232000	0.165600	0.102200
444135.3	0.191900	0.205400	0.201700	0.213600	0.251200	0.211500	0.234000	0.167000	0.105900
449299.6	0.196800	0.200800	0.198400	0.213900	0.255400	0.214700	0.226700	0.172100	0.102600
454464.0	0.191500	0.199800	0.196500	0.211700	0.252500	0.214100	0.224900	0.169600	0.105300
